rank,level,target,english,attribution,words,contributor
231,A,مجھے تولیہ چاہیے۔,I need the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
232,B,مجھے تولیہ نہیں چاہیے۔,I don't need the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
233,B,کیا آپ کو تولیہ چاہیے؟,Do you need the towel?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
234,A,ہمیں تولیہ چاہیے۔,We need the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
235,A,تولیہ کہاں ہے؟,Where is the towel?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
236,A,کیا تولیہ یہاں ہے؟,Is the towel here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
237,A,براہِ کرم تولیہ لے آئیے۔,Please bring the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
238,B,براہِ کرم مجھے تولیہ دیجیے۔,Please give me the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
239,A,میرے پاس تولیہ ہے۔,I have the towel.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
240,B,کیا آپ کے پاس تولیہ ہے؟,Do you have the towel?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
241,A,مجھے صابن چاہیے۔,I need the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
242,B,مجھے صابن نہیں چاہیے۔,I don't need the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
243,B,کیا آپ کو صابن چاہیے؟,Do you need the soap?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
244,A,ہمیں صابن چاہیے۔,We need the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
245,A,صابن کہاں ہے؟,Where is the soap?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
246,A,کیا صابن یہاں ہے؟,Is the soap here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
247,A,براہِ کرم صابن لے آئیے۔,Please bring the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
248,B,براہِ کرم مجھے صابن دیجیے۔,Please give me the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
249,A,میرے پاس صابن ہے۔,I have the soap.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
250,B,کیا آپ کے پاس صابن ہے؟,Do you have the soap?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
251,A,مجھے بوتل چاہیے۔,I need the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
252,B,مجھے بوتل نہیں چاہیے۔,I don't need the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
253,B,کیا آپ کو بوتل چاہیے؟,Do you need the bottle?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
254,A,ہمیں بوتل چاہیے۔,We need the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
255,A,بوتل کہاں ہے؟,Where is the bottle?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
256,A,کیا بوتل یہاں ہے؟,Is the bottle here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
257,A,براہِ کرم بوتل لے آئیے۔,Please bring the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
258,B,براہِ کرم مجھے بوتل دیجیے۔,Please give me the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
259,A,میرے پاس بوتل ہے۔,I have the bottle.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
260,B,کیا آپ کے پاس بوتل ہے؟,Do you have the bottle?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
261,A,مجھے گلاس چاہیے۔,I need the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
262,B,مجھے گلاس نہیں چاہیے۔,I don't need the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
263,B,کیا آپ کو گلاس چاہیے؟,Do you need the glass?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
264,A,ہمیں گلاس چاہیے۔,We need the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
265,A,گلاس کہاں ہے؟,Where is the glass?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
266,A,کیا گلاس یہاں ہے؟,Is the glass here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
267,A,براہِ کرم گلاس لے آئیے۔,Please bring the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
268,B,براہِ کرم مجھے گلاس دیجیے۔,Please give me the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
269,A,میرے پاس گلاس ہے۔,I have the glass.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
270,B,کیا آپ کے پاس گلاس ہے؟,Do you have the glass?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
271,A,مجھے کپ چاہیے۔,I need the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
272,B,مجھے کپ نہیں چاہیے۔,I don't need the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
273,B,کیا آپ کو کپ چاہیے؟,Do you need the cup?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
274,A,ہمیں کپ چاہیے۔,We need the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
275,A,کپ کہاں ہے؟,Where is the cup?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
276,A,کیا کپ یہاں ہے؟,Is the cup here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
277,A,براہِ کرم کپ لے آئیے۔,Please bring the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
278,B,براہِ کرم مجھے کپ دیجیے۔,Please give me the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
279,A,میرے پاس کپ ہے۔,I have the cup.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
280,B,کیا آپ کے پاس کپ ہے؟,Do you have the cup?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
281,A,مجھے پلیٹ چاہیے۔,I need the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
282,B,مجھے پلیٹ نہیں چاہیے۔,I don't need the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
283,B,کیا آپ کو پلیٹ چاہیے؟,Do you need the plate?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
284,A,ہمیں پلیٹ چاہیے۔,We need the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
285,A,پلیٹ کہاں ہے؟,Where is the plate?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
286,A,کیا پلیٹ یہاں ہے؟,Is the plate here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
287,A,براہِ کرم پلیٹ لے آئیے۔,Please bring the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
288,B,براہِ کرم مجھے پلیٹ دیجیے۔,Please give me the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
289,A,میرے پاس پلیٹ ہے۔,I have the plate.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
290,B,کیا آپ کے پاس پلیٹ ہے؟,Do you have the plate?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
291,A,مجھے چمچ چاہیے۔,I need the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
292,B,مجھے چمچ نہیں چاہیے۔,I don't need the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
293,B,کیا آپ کو چمچ چاہیے؟,Do you need the spoon?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
294,A,ہمیں چمچ چاہیے۔,We need the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
295,A,چمچ کہاں ہے؟,Where is the spoon?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
296,A,کیا چمچ یہاں ہے؟,Is the spoon here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
297,A,براہِ کرم چمچ لے آئیے۔,Please bring the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
298,B,براہِ کرم مجھے چمچ دیجیے۔,Please give me the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
299,A,میرے پاس چمچ ہے۔,I have the spoon.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
300,B,کیا آپ کے پاس چمچ ہے؟,Do you have the spoon?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
301,A,مجھے کانٹا چاہیے۔,I need the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
302,B,مجھے کانٹا نہیں چاہیے۔,I don't need the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
303,B,کیا آپ کو کانٹا چاہیے؟,Do you need the fork?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
304,A,ہمیں کانٹا چاہیے۔,We need the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
305,A,کانٹا کہاں ہے؟,Where is the fork?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
306,A,کیا کانٹا یہاں ہے؟,Is the fork here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
307,A,براہِ کرم کانٹا لے آئیے۔,Please bring the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
308,B,براہِ کرم مجھے کانٹا دیجیے۔,Please give me the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
309,A,میرے پاس کانٹا ہے۔,I have the fork.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
310,B,کیا آپ کے پاس کانٹا ہے؟,Do you have the fork?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
311,A,مجھے چاقو چاہیے۔,I need the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
312,B,مجھے چاقو نہیں چاہیے۔,I don't need the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
313,B,کیا آپ کو چاقو چاہیے؟,Do you need the knife?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
314,A,ہمیں چاقو چاہیے۔,We need the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
315,A,چاقو کہاں ہے؟,Where is the knife?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
316,A,کیا چاقو یہاں ہے؟,Is the knife here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
317,A,براہِ کرم چاقو لے آئیے۔,Please bring the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
318,B,براہِ کرم مجھے چاقو دیجیے۔,Please give me the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
319,A,میرے پاس چاقو ہے۔,I have the knife.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
320,B,کیا آپ کے پاس چاقو ہے؟,Do you have the knife?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
321,A,مجھے پانی چاہیے۔,I need the water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
322,B,مجھے پانی نہیں چاہیے۔,I don't need the water.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
323,B,کیا آپ کو پانی چاہیے؟,Do you need the water?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
324,A,ہمیں پانی چاہیے۔,We need the water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
325,A,پانی کہاں ہے؟,Where is the water?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
326,A,کیا پانی یہاں ہے؟,Is the water here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
327,A,براہِ کرم پانی لے آئیے۔,Please bring the water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
328,B,براہِ کرم مجھے پانی دیجیے۔,Please give me the water.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
329,A,میرے پاس پانی ہے۔,I have the water.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
330,B,کیا آپ کے پاس پانی ہے؟,Do you have the water?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
331,A,مجھے چائے چاہیے۔,I need the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
332,B,مجھے چائے نہیں چاہیے۔,I don't need the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
333,B,کیا آپ کو چائے چاہیے؟,Do you need the tea?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
334,A,ہمیں چائے چاہیے۔,We need the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
335,A,چائے کہاں ہے؟,Where is the tea?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
336,A,کیا چائے یہاں ہے؟,Is the tea here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
337,A,براہِ کرم چائے لے آئیے۔,Please bring the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
338,B,براہِ کرم مجھے چائے دیجیے۔,Please give me the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
339,A,میرے پاس چائے ہے۔,I have the tea.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
340,B,کیا آپ کے پاس چائے ہے؟,Do you have the tea?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
341,A,مجھے کافی چاہیے۔,I need the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
342,B,مجھے کافی نہیں چاہیے۔,I don't need the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
343,B,کیا آپ کو کافی چاہیے؟,Do you need the coffee?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
344,A,ہمیں کافی چاہیے۔,We need the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
345,A,کافی کہاں ہے؟,Where is the coffee?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
346,A,کیا کافی یہاں ہے؟,Is the coffee here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
347,A,براہِ کرم کافی لے آئیے۔,Please bring the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
348,B,براہِ کرم مجھے کافی دیجیے۔,Please give me the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
349,A,میرے پاس کافی ہے۔,I have the coffee.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
350,B,کیا آپ کے پاس کافی ہے؟,Do you have the coffee?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
351,A,مجھے دودھ چاہیے۔,I need the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
352,B,مجھے دودھ نہیں چاہیے۔,I don't need the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
353,B,کیا آپ کو دودھ چاہیے؟,Do you need the milk?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
354,A,ہمیں دودھ چاہیے۔,We need the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
355,A,دودھ کہاں ہے؟,Where is the milk?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
356,A,کیا دودھ یہاں ہے؟,Is the milk here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
357,A,براہِ کرم دودھ لے آئیے۔,Please bring the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
358,B,براہِ کرم مجھے دودھ دیجیے۔,Please give me the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
359,A,میرے پاس دودھ ہے۔,I have the milk.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
360,B,کیا آپ کے پاس دودھ ہے؟,Do you have the milk?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
361,A,مجھے روٹی چاہیے۔,I need the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
362,B,مجھے روٹی نہیں چاہیے۔,I don't need the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
363,B,کیا آپ کو روٹی چاہیے؟,Do you need the bread?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
364,A,ہمیں روٹی چاہیے۔,We need the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
365,A,روٹی کہاں ہے؟,Where is the bread?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
366,A,کیا روٹی یہاں ہے؟,Is the bread here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
367,A,براہِ کرم روٹی لے آئیے۔,Please bring the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
368,B,براہِ کرم مجھے روٹی دیجیے۔,Please give me the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
369,A,میرے پاس روٹی ہے۔,I have the bread.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
370,B,کیا آپ کے پاس روٹی ہے؟,Do you have the bread?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
371,A,مجھے جوس چاہیے۔,I need the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
372,B,مجھے جوس نہیں چاہیے۔,I don't need the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
373,B,کیا آپ کو جوس چاہیے؟,Do you need the juice?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
374,A,ہمیں جوس چاہیے۔,We need the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
375,A,جوس کہاں ہے؟,Where is the juice?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
376,A,کیا جوس یہاں ہے؟,Is the juice here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
377,A,براہِ کرم جوس لے آئیے۔,Please bring the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
378,B,براہِ کرم مجھے جوس دیجیے۔,Please give me the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
379,A,میرے پاس جوس ہے۔,I have the juice.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
380,B,کیا آپ کے پاس جوس ہے؟,Do you have the juice?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
381,A,مجھے دوا چاہیے۔,I need the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
382,B,مجھے دوا نہیں چاہیے۔,I don't need the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
383,B,کیا آپ کو دوا چاہیے؟,Do you need the medicine?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
384,A,ہمیں دوا چاہیے۔,We need the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
385,A,دوا کہاں ہے؟,Where is the medicine?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
386,A,کیا دوا یہاں ہے؟,Is the medicine here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
387,A,براہِ کرم دوا لے آئیے۔,Please bring the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
388,B,براہِ کرم مجھے دوا دیجیے۔,Please give me the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
389,A,میرے پاس دوا ہے۔,I have the medicine.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
390,B,کیا آپ کے پاس دوا ہے؟,Do you have the medicine?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
391,A,مجھے رسید چاہیے۔,I need the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
392,B,مجھے رسید نہیں چاہیے۔,I don't need the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
393,B,کیا آپ کو رسید چاہیے؟,Do you need the receipt?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
394,A,ہمیں رسید چاہیے۔,We need the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
395,A,رسید کہاں ہے؟,Where is the receipt?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
396,A,کیا رسید یہاں ہے؟,Is the receipt here?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
397,A,براہِ کرم رسید لے آئیے۔,Please bring the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
398,B,براہِ کرم مجھے رسید دیجیے۔,Please give me the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
399,A,میرے پاس رسید ہے۔,I have the receipt.,Original controlled learner sentence — UALIS Publishing v1.0.,4,
400,B,کیا آپ کے پاس رسید ہے؟,Do you have the receipt?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
401,A,گھر کہاں ہے؟,Where is the house?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
402,A,کیا گھر قریب ہے؟,Is the house nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
403,B,گھر کتنی دور ہے؟,How far is the house?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
404,B,ہمیں گھر جانا ہے۔,We need to go to the house.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
405,B,چلیے، گھر چلیں۔,Let's go to the house.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
406,A,ہوٹل کہاں ہے؟,Where is the hotel?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
407,A,کیا ہوٹل قریب ہے؟,Is the hotel nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
408,B,ہوٹل کتنی دور ہے؟,How far is the hotel?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
409,B,ہمیں ہوٹل جانا ہے۔,We need to go to the hotel.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
410,B,چلیے، ہوٹل چلیں۔,Let's go to the hotel.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
411,A,ریستوران کہاں ہے؟,Where is the restaurant?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
412,A,کیا ریستوران قریب ہے؟,Is the restaurant nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
413,B,ریستوران کتنی دور ہے؟,How far is the restaurant?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
414,B,ہمیں ریستوران جانا ہے۔,We need to go to the restaurant.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
415,B,چلیے، ریستوران چلیں۔,Let's go to the restaurant.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
416,A,کیفے کہاں ہے؟,Where is the cafe?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
417,A,کیا کیفے قریب ہے؟,Is the cafe nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
418,B,کیفے کتنی دور ہے؟,How far is the cafe?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
419,B,ہمیں کیفے جانا ہے۔,We need to go to the cafe.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
420,B,چلیے، کیفے چلیں۔,Let's go to the cafe.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
421,B,ریلوے اسٹیشن کہاں ہے؟,Where is the train station?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
422,B,کیا ریلوے اسٹیشن قریب ہے؟,Is the train station nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
423,B,ریلوے اسٹیشن کتنی دور ہے؟,How far is the train station?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
424,B,ہمیں ریلوے اسٹیشن جانا ہے۔,We need to go to the train station.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
425,B,چلیے، ریلوے اسٹیشن چلیں۔,Let's go to the train station.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
426,B,بس اسٹیشن کہاں ہے؟,Where is the bus station?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
427,B,کیا بس اسٹیشن قریب ہے؟,Is the bus station nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
428,B,بس اسٹیشن کتنی دور ہے؟,How far is the bus station?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
429,B,ہمیں بس اسٹیشن جانا ہے۔,We need to go to the bus station.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
430,B,چلیے، بس اسٹیشن چلیں۔,Let's go to the bus station.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
431,B,بس اسٹاپ کہاں ہے؟,Where is the bus stop?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
432,B,کیا بس اسٹاپ قریب ہے؟,Is the bus stop nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
433,B,بس اسٹاپ کتنی دور ہے؟,How far is the bus stop?,Original controlled learner sentence — UALIS Publishing v1.0.,6,
434,B,ہمیں بس اسٹاپ جانا ہے۔,We need to go to the bus stop.,Original controlled learner sentence — UALIS Publishing v1.0.,8,
435,B,چلیے، بس اسٹاپ چلیں۔,Let's go to the bus stop.,Original controlled learner sentence — UALIS Publishing v1.0.,6,
436,A,ہوائی اڈا کہاں ہے؟,Where is the airport?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
437,A,کیا ہوائی اڈا قریب ہے؟,Is the airport nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
438,B,ہوائی اڈا کتنی دور ہے؟,How far is the airport?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
439,B,ہمیں ہوائی اڈا جانا ہے۔,We need to go to the airport.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
440,B,چلیے، ہوائی اڈا چلیں۔,Let's go to the airport.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
441,A,بینک کہاں ہے؟,Where is the bank?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
442,A,کیا بینک قریب ہے؟,Is the bank nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
443,B,بینک کتنی دور ہے؟,How far is the bank?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
444,B,ہمیں بینک جانا ہے۔,We need to go to the bank.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
445,B,چلیے، بینک چلیں۔,Let's go to the bank.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
446,A,ہسپتال کہاں ہے؟,Where is the hospital?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
447,A,کیا ہسپتال قریب ہے؟,Is the hospital nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
448,B,ہسپتال کتنی دور ہے؟,How far is the hospital?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
449,B,ہمیں ہسپتال جانا ہے۔,We need to go to the hospital.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
450,B,چلیے، ہسپتال چلیں۔,Let's go to the hospital.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
451,A,کلینک کہاں ہے؟,Where is the clinic?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
452,A,کیا کلینک قریب ہے؟,Is the clinic nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
453,B,کلینک کتنی دور ہے؟,How far is the clinic?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
454,B,ہمیں کلینک جانا ہے۔,We need to go to the clinic.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
455,B,چلیے، کلینک چلیں۔,Let's go to the clinic.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
456,A,دواخانہ کہاں ہے؟,Where is the pharmacy?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
457,A,کیا دواخانہ قریب ہے؟,Is the pharmacy nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
458,B,دواخانہ کتنی دور ہے؟,How far is the pharmacy?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
459,B,ہمیں دواخانہ جانا ہے۔,We need to go to the pharmacy.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
460,B,چلیے، دواخانہ چلیں۔,Let's go to the pharmacy.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
461,A,بازار کہاں ہے؟,Where is the market?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
462,A,کیا بازار قریب ہے؟,Is the market nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
463,B,بازار کتنی دور ہے؟,How far is the market?,Original controlled learner sentence — UALIS Publishing v1.0.,5,
464,B,ہمیں بازار جانا ہے۔,We need to go to the market.,Original controlled learner sentence — UALIS Publishing v1.0.,7,
465,B,چلیے، بازار چلیں۔,Let's go to the market.,Original controlled learner sentence — UALIS Publishing v1.0.,5,
466,A,دکان کہاں ہے؟,Where is the shop?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
467,A,کیا دکان قریب ہے؟,Is the shop nearby?,Original controlled learner sentence — UALIS Publishing v1.0.,4,
