rank,front,meaning,kaikki_entry,kaikki_semantic_agreement,kaikki_overlap_terms,omw_entry,omw_semantic_agreement,omw_overlap_terms,wordfreq_attested,calima_analysis,status
347,ما,how...!; what a...! (exclamative ما),True,True,how|what,False,False,,True,True,verified
348,دعم,support; backing; supported,True,True,support,True,True,back|support,True,True,verified_strong
349,حاجة,need; necessity,True,True,necessity|need,True,True,need,True,True,verified_strong
350,تعال,come!,True,True,come,False,False,,True,True,verified
351,مجرد,mere; simply; abstract/bare,True,True,abstract|mere,True,True,abstract,True,True,verified_strong
352,وزراء,ministers,True,False,,False,False,,True,True,explicit_review_required
353,هؤلاء,these,True,True,these,False,False,,True,True,verified
354,عقد,held; concluded; contracted; tied,True,True,contract,True,True,contract|held,True,True,verified_strong
355,دقيقة,minute; precise/fine (context-dependent),True,True,minute,True,True,minute,True,True,verified_strong
356,طبع,printing; nature/character; printed,True,True,nature|print,True,True,character|nature|print,True,True,verified_strong
357,صورة,picture; image; form,True,True,image|picture,True,True,image|picture,True,True,verified_strong
358,تقدم,progress; advance; advanced/progressed,True,True,advance|progres,True,True,advance|progres,True,True,verified_strong
359,جامعة,university,True,True,university,True,True,university,True,True,verified_strong
360,عبر,crossed; passed through; expressed (context-dependent),True,True,pass,True,True,cross|express|pass|through,True,True,verified_strong
361,اذهب,go!,False,False,,False,False,,True,True,explicit_review_required
362,وجد,found,True,False,,True,True,found,True,True,verified
363,قادم,coming; next,True,True,coming|next,False,False,,True,True,verified
364,يجري,runs; proceeds; takes place,False,False,,False,False,,True,True,explicit_review_required
365,أسعار,prices,True,False,,True,False,,True,True,explicit_review_required
366,حرب,war,True,True,war,True,True,war,True,True,verified_strong
367,نقطة,point; dot,True,True,dot|point,True,True,dot|point,True,True,verified_strong
368,انتخابات,elections,True,False,,False,False,,True,True,explicit_review_required
369,سوق,market,True,True,market,True,True,market,True,True,verified_strong
370,بناء,building; construction,True,True,build|construction,True,True,build|construction,True,True,verified_strong
371,تعلم,learning; learned,True,True,learn,True,True,learn,True,True,verified_strong
372,يصبح,becomes,False,False,,False,False,,True,True,explicit_review_required
373,خصوصا,especially; particularly,True,True,especially|particularly,True,True,especially|particularly,True,True,verified_strong
374,نصف,half,True,True,half,True,True,half,True,True,verified_strong
375,ذهاب,going; departure,True,True,going,True,True,departure|going,True,True,verified_strong
376,رأي,opinion; view,True,True,opinion|view,True,True,opinion|view,True,True,verified_strong
377,يفكر,thinks; considers,False,False,,False,False,,True,True,explicit_review_required
378,وطني,national; patriotic,True,True,national,True,True,national,True,True,verified_strong
379,اجتماع,meeting; assembly,True,True,assembly|meet,True,True,assembly|meet,True,True,verified_strong
380,قيمة,value; worth,True,True,value|worth,True,True,value|worth,True,True,verified_strong
381,بلاد,lands; countries,True,False,,True,True,country,True,True,verified
382,بداية,beginning; start,True,True,beginn|start,True,True,beginn|start,True,True,verified_strong
383,ذو,possessor of; having; with (ذو),True,True,possessor,True,False,,True,True,verified
384,مدرسة,school; female teacher (depending on vocalization),True,True,female|school|teacher,True,True,school|teacher,True,True,verified_strong
385,سرعة,speed; rapidity,True,True,speed,True,True,speed,True,True,verified_strong
386,لما,when (لَمَّا); not yet / when used with negation; for what/to what (لِمَا),True,True,not|what|when|yet,False,False,,True,True,verified
387,أعضاء,members,True,False,,True,True,member,True,True,verified
388,عمر,age; lifetime,True,True,age|lifetime,True,True,age|lifetime,True,True,verified_strong
389,إسلامي,Islamic,True,True,islamic,False,False,,True,True,verified
390,مرحلة,stage; phase,True,True,phase|stage,True,True,phase|stage,True,True,verified_strong
391,بعيد,far; distant,True,True,distant|far,True,True,distant|far,True,True,verified_strong
392,يخبر,tells; informs,False,False,,False,False,,True,True,explicit_review_required
393,أوضح,clarified; explained; made clear,True,True,clear,True,True,clear|explain,True,True,verified_strong
394,حب,love,True,True,love,True,True,love,True,True,verified_strong
395,مالية,financial; fiscal,True,True,financial,True,False,,True,True,verified
396,علاقة,relationship; relation,True,True,relation|relationship,True,True,relation|relationship,True,True,verified_strong
397,يد,hand,True,True,hand,True,True,hand,True,True,verified_strong
398,ينظر,looks; considers; examines,False,False,,False,False,,True,True,explicit_review_required
399,مستقبل,future,True,True,future,True,True,future,True,True,verified_strong
400,زوجة,wife,True,True,wife,True,True,wife,True,True,verified_strong
401,جيش,army,True,True,army,True,True,army,True,True,verified_strong
402,مدة,duration; period,True,True,duration|period,True,True,duration|period,True,True,verified_strong
403,أهل,family; people; inhabitants; people of,True,True,family|inhabitant|people,True,True,family|people,True,True,verified_strong
404,يعيش,lives; resides,False,False,,False,False,,True,True,explicit_review_required
405,قول,saying; speech; statement,True,True,saying|speech|state,True,True,saying|speech|state,True,True,verified_strong
406,رقم,number; figure,True,True,figure|number,True,True,figure|number,True,True,verified_strong
407,كتاب,book,True,True,book,True,True,book,True,True,verified_strong
408,اقتصادي,economic,True,True,economic,True,True,economic,True,True,verified_strong
409,مكتب,office; desk,True,True,desk|office,True,True,desk|office,True,True,verified_strong
410,نظر,view; consideration; looked/considered,True,True,consider|look|view,True,True,consider|look|view,True,True,verified_strong
411,زيادة,increase; addition,True,True,addition|increase,True,True,addition|increase,True,True,verified_strong
412,حل,solution; solving; solved,True,True,solution,True,True,solution|solv,True,True,verified_strong
413,بلد,country; town; land,True,True,country|land|town,True,True,country|land|town,True,True,verified_strong
414,عائلة,family,True,True,family,True,True,family,True,True,verified_strong
415,إعادة,return; repetition; redoing,True,False,,True,True,repetition|return,True,True,verified
416,حد,limit; boundary; extent,True,True,boundary|limit,True,True,boundary|extent|limit,True,True,verified_strong
417,يرجو,hopes; wishes; asks/request politely (يرجو),False,False,,False,False,,True,True,explicit_review_required
418,مؤتمر,conference,True,True,conference,True,True,conference,True,True,verified_strong
419,باب,door; gate,True,True,door|gate,True,False,,True,True,verified
420,يفهم,understands,False,False,,False,False,,True,True,explicit_review_required
421,موضوع,subject; topic,True,True,subject|topic,True,True,subject|topic,True,True,verified_strong
422,واقع,reality; actual situation; occurring/present,True,True,reality,True,True,actual|reality,True,True,verified_strong
423,مقابل,opposite; counterpart; in exchange for; versus,True,True,exchange,True,False,,True,True,verified
424,محكمة,court; tribunal,True,True,court,True,True,court|tribunal,True,True,verified_strong
425,كلمة,word,True,True,word,True,True,word,True,True,verified_strong
426,يتمنى,wishes; hopes,False,False,,False,False,,True,True,explicit_review_required
427,جهاز,device; apparatus,True,True,apparatu|device,True,True,apparatu|device,True,True,verified_strong
428,سمع,hearing; heard/listened,True,True,hear|listen,True,True,hear|heard|listen,True,True,verified_strong
429,اسمع,listen!; hear!,True,False,,False,False,,True,True,explicit_review_required
430,ترك,leaving; abandonment; left,True,True,abandon|leav,True,True,abandon,True,True,verified_strong
431,عربي,Arab; Arabic,True,True,arab|arabic,True,True,arab|arabic,True,True,verified_strong
432,قيادة,leadership; driving,True,True,driv|leadership,True,True,driv|leadership,True,True,verified_strong
433,فضل,merit; virtue; favor; preferred,True,True,favor|merit|virtue,True,True,virtue,True,True,verified_strong
434,انتهى,ended; finished,True,True,finish,True,True,finish,True,True,verified_strong
435,طالب,student; seeker; demanded/claimed,True,True,demand|seeker|student,True,True,claim|demand|student,True,True,verified_strong
436,رفض,rejection; refusal; refused,True,True,refusal|rejection,True,True,rejection,True,True,verified_strong
437,صاحب,companion; owner; accompanied,True,True,companion|owner,True,True,companion|owner,True,True,verified_strong
438,بلغ,reached; amounted to; informed/notified (depending on form),True,True,inform|reach,True,True,amount|inform|reach,True,True,verified_strong
439,وصول,arrival; access,True,True,arrival,True,True,arrival,True,True,verified_strong
440,دخول,entry; entrance,True,True,entrance,True,True,entrance|entry,True,True,verified_strong
441,عالمية,global; international (feminine),True,False,,False,False,,True,True,explicit_review_required
442,مهمة,task; mission; assignment,True,True,assign|mission|task,True,True,assign|mission|task,True,True,verified_strong
443,مزيد,more; additional amount; further,True,True,amount|more,False,False,,True,True,verified
444,رئاسة,presidency; chairmanship,True,True,chairmanship|presidency,True,True,presidency,True,True,verified_strong
445,مجتمع,society; community,True,True,community|society,True,True,society,True,True,verified_strong
446,قلب,turned; overturned; reversed,True,True,turn,True,True,overturn|turn,True,True,verified_strong
447,ينتظر,waits,False,False,,False,False,,True,True,explicit_review_required
448,تعاون,cooperation; collaborated/cooperated,True,True,cooper,True,True,cooper|cooperat,True,True,verified_strong
449,عبد,servant; slave; worshipped,True,True,slave,True,True,servant|slave|worshipp,True,True,verified_strong
450,جزء,part; portion,True,True,part|portion,True,True,part|portion,True,True,verified_strong
451,موسم,season,True,True,season,True,True,season,True,True,verified_strong
452,صوت,voice; sound; vote,True,True,sound|voice|vote,True,True,sound|voice|vote,True,True,verified_strong
453,يود,would like; wants,True,False,,True,False,,True,True,explicit_review_required
454,قيام,standing; undertaking; carrying out,True,False,,False,False,,True,True,explicit_review_required
455,خارجية,foreign; external; exterior (feminine adjective/noun use),True,True,exterior|foreign,False,False,,True,True,verified
456,ذكر,mention; remembrance,True,True,mention|remembrance,True,True,mention|remembrance,True,True,verified_strong
457,حديث,modern; recent; new (adjective حديث),True,True,modern|new|recent,True,True,modern,True,True,verified_strong
458,ظهر,noon; midday (ظُهْر),True,True,midday|noon,True,True,midday|noon,True,True,verified_strong
459,عديد,many; numerous,True,True,many|numerou,True,True,many,True,True,verified_strong
460,كأن,as if; as though,True,True,if,True,False,,True,True,verified
461,لحظة,moment,True,True,moment,True,True,moment,True,True,verified_strong
462,حوار,dialogue; conversation,True,True,convers|dialogue,True,True,dialogue,True,True,verified_strong
463,ارتفاع,rise; increase; elevation,True,True,increase,True,True,elev|increase|rise,True,True,verified_strong
464,نار,fire,True,True,fire,True,True,fire,True,True,verified_strong
465,حاول,tried; attempted; try!,True,True,try,True,True,attempt|try,True,True,verified_strong
466,دين,religion; debt (depending on vocalization),True,True,debt|religion,True,True,debt|religion,True,True,verified_strong
467,دوري,league; round/periodic competition; periodic (depending on use),True,True,periodic,True,False,,True,True,verified
468,يبحث,searches; researches; looks for,False,False,,False,False,,True,True,explicit_review_required
469,يعطي,gives,False,False,,False,False,,True,True,explicit_review_required
470,غاية,goal; purpose; utmost extent,True,True,goal|purpose,True,True,goal|purpose,True,True,verified_strong
471,تقديم,presentation; submission; provision,True,True,provision|submission,True,True,presentation,True,True,verified_strong
472,دفع,payment; pushing; paid/pushed,True,True,payment|push,True,True,paid|payment|push,True,True,verified_strong
473,دعا,called; invited; prayed,True,True,call|pray,True,True,call|invit|pray,True,True,verified_strong
474,موقف,position; stance; situation,True,True,position|situ,True,True,position|stance,True,True,verified_strong
475,مشيرا,indicating; pointing out; noting (مشيرًا),False,False,,False,False,,True,True,explicit_review_required
476,تنفيذ,implementation; execution,True,False,,True,True,execution|implement,True,True,verified
477,يقصد,means; intends; aims,False,False,,False,False,,True,True,explicit_review_required
478,يذكر,mentions; remembers,False,False,,False,False,,True,True,explicit_review_required
479,سلام,peace; greeting; salutation,True,True,greet|peace|salut,True,True,greet|peace|salut,True,True,verified_strong
480,أصدقاء,friends,True,False,,True,True,friend,True,True,verified
481,وحدة,unit; unity,True,True,unit|unity,True,True,unit,True,True,verified_strong
482,قديم,old; ancient,True,True,ancient|old,False,False,,True,True,verified
483,أزمة,crisis,True,True,crisi,True,True,crisi,True,True,verified_strong
484,تقرير,report,True,True,report,True,True,report,True,True,verified_strong
485,معلومات,information,True,True,inform,True,True,inform,True,True,verified_strong
486,إمكان,possibility; potential,True,True,possibility,True,True,possibility|potential,True,True,verified_strong
487,نتيجة,result; outcome,True,True,result,True,True,outcome|result,True,True,verified_strong
488,موقع,site; location; position,True,True,location|position|site,True,True,location|position|site,True,True,verified_strong
489,مساء,evening; in the evening,True,True,even,True,True,even,True,True,verified_strong
490,مجال,field; domain; area,True,True,area|domain|field,True,True,area|domain|field,True,True,verified_strong
491,وسط,middle; center; among,True,True,among|center|middle,True,True,center,True,True,verified_strong
492,جميعا,all together; altogether; everyone,False,False,,False,False,,True,True,explicit_review_required
493,موت,death,True,True,death,True,True,death,True,True,verified_strong
494,شعر,poetry; hair (depending on vocalization),True,True,hair|poetry,True,True,hair|poetry,True,True,verified_strong
495,دفاع,defense; defence,True,True,defence|defense,True,True,defence|defense,True,True,verified_strong
496,درجة,degree; grade; level,True,True,degree|grade,True,True,degree|grade|level,True,True,verified_strong
497,اتصال,contact; communication,True,False,,True,True,communic|contact,True,True,verified
498,عشر,ten; one tenth (depending on vocalization),True,True,ten|tenth,True,False,,True,True,verified
499,سؤال,question,True,True,question,True,True,question,True,True,verified_strong
500,كلام,speech; statement; remark; talk; saying,True,True,remark|saying|speech|state|talk,True,True,speech,True,True,verified_strong
501,كأس,cup; trophy,True,True,cup|trophy,True,True,cup,True,True,verified_strong
502,جعل,made; rendered; caused,True,False,,True,True,render,True,True,verified
503,طوال,throughout; during; all through,True,True,during|throughout,False,False,,True,True,verified
504,خطة,plan,True,True,plan,True,True,plan,True,True,verified_strong
505,متى,when?,True,True,when,True,False,,True,True,verified
506,ضبط,control; regulation; adjustment; controlled; adjusted,True,True,adjust,True,True,adjust|control|controll|regul,True,True,verified_strong
507,أثناء,during; while,True,True,during,False,False,,True,True,verified
508,وطنية,national (feminine); nationality/national character in noun use,True,False,,False,False,,True,True,explicit_review_required
509,معرفة,knowledge; knowing,True,True,knowledge,True,True,know|knowledge,True,True,verified_strong
510,بيان,statement; declaration; data/itemization (context-dependent),True,True,declar|state,True,True,declar|state,True,True,verified_strong
511,قرر,decided; determined,True,False,,True,True,determin,True,True,verified
512,عيد,holiday; feast; festival,True,True,feast|festival|holiday,True,False,,True,True,verified
513,زوج,spouse; pair; married off,True,True,off|pair|spouse,True,True,marr|pair|spouse,True,True,verified_strong
514,تعليم,education; teaching,True,True,educ|teach,True,True,educ|teach,True,True,verified_strong
515,خطأ,error; mistake,True,True,error|mistake,True,True,error|mistake,True,True,verified_strong
516,تطوير,development; improvement,False,False,,True,True,develop|improve,True,True,verified
517,عدة,several; a number of; waiting period; equipment/gear (depending on vocalization),True,True,number|period|several|wait,True,True,equip|gear,True,True,verified_strong
518,عضو,member; organ,True,True,member|organ,True,True,member|organ,True,True,verified_strong
519,فتح,opening; conquest; opened,True,True,conquest|open,True,True,open,True,True,verified_strong
520,مات,died,True,False,,True,False,,True,True,explicit_review_required
521,غدا,tomorrow,True,True,tomorrow,True,True,tomorrow,True,True,verified_strong
522,عظيم,great; magnificent; enormous,True,True,great|magnificent,True,True,great,True,True,verified_strong
523,كشف,discovery; exposure; revealed/uncovered,True,True,reveal|uncover,True,True,discovery|reveal|uncover,True,True,verified_strong
524,طاقة,energy; capacity,True,True,energy,True,True,capacity|energy,True,True,verified_strong
525,يعتبر,is considered; regards/considers,False,False,,False,False,,True,True,explicit_review_required
526,عاد,returned; came back,True,True,back|return,True,True,back|return,True,True,verified_strong
527,خلف,succeeded/followed; came after,True,True,after|follow|succeed,True,True,after|follow,True,True,verified_strong
528,شرق,east,True,True,east,True,True,east,True,True,verified_strong
529,داخلية,internal; domestic; interior (feminine),True,True,interior,False,False,,True,True,verified
530,ضمن,within; among; included/guaranteed (depending on vocalization),True,True,among|within,True,True,includ,True,True,verified_strong
531,اتفاق,agreement; accord,True,True,agree,True,True,accord|agree,True,True,verified_strong
532,مياه,water; waters,True,True,water,False,False,,True,True,verified
533,مستشفى,hospital,True,True,hospital,False,False,,True,True,verified
534,إنسان,human being; person,True,True,human,True,True,human,True,True,verified_strong
535,أعطى,gave,True,False,,True,False,,True,True,explicit_review_required
536,ألم,pain (أَلَم); did...not? / interrogative combination أَلَمْ depending on vocalization,True,True,pain,True,True,pain,True,True,verified_strong
537,منظمة,organization; organisation,True,True,organiz,True,True,organis|organiz,True,True,verified_strong
538,كتب,books; wrote,True,False,,True,True,book,True,True,verified
539,حضور,attendance; presence,True,True,attendance|presence,True,True,presence,True,True,verified_strong
540,رفع,raising; lifting; raised,True,True,lift|rais,True,True,lift|rais,True,True,verified_strong
541,لعب,play; playing; played,True,True,play,True,True,play,True,True,verified_strong
542,خروج,exit; departure,True,True,exit,True,True,exit,True,True,verified_strong
543,جهة,side; direction; entity/party,True,True,side,True,True,direction,True,True,verified_strong
544,رسالة,message; letter,True,True,letter|message,True,True,letter|message,True,True,verified_strong
545,استخدام,use; usage,True,True,use,True,True,usage,True,True,verified_strong
546,سلطة,authority; power; government; salad (different vocalization),True,True,authority|power|salad,True,True,authority|govern|power|salad,True,True,verified_strong
547,ضرورة,necessity; need,True,True,necessity,True,True,necessity|need,True,True,verified_strong
548,يدخل,enters,False,False,,False,False,,True,True,explicit_review_required
549,ممكن,possible; feasible,True,True,possible,True,True,possible,True,True,verified_strong
550,نتائج,results; consequences,True,False,,True,True,result,True,True,verified
551,مدرب,coach; trainer,True,True,coach|trainer,True,True,coach|trainer,True,True,verified_strong
552,يترك,leaves; abandons,False,False,,False,False,,True,True,explicit_review_required
553,فهم,understood,True,False,,True,False,,True,True,explicit_review_required
554,أساسي,basic; fundamental,True,True,basic|fundamental,True,False,,True,True,verified
555,أشخاص,people; persons,True,False,,True,False,,True,True,explicit_review_required
556,جنوب,south,True,True,south,True,True,south,True,True,verified_strong
557,يسمع,hears; listens,False,False,,False,False,,True,True,explicit_review_required
558,سجن,prison; imprisonment,True,True,imprison|prison,True,True,prison,True,True,verified_strong
559,تحديد,determination; specification; identification,True,False,,True,True,specific,True,True,verified
560,وطن,homeland; nation; country,True,True,country|homeland|nation,True,True,country|homeland|nation,True,True,verified_strong
561,ظل,shade; shadow; remained/continued,True,True,remain|shade|shadow,True,True,remain|shade|shadow,True,True,verified_strong
562,ولد,boy; son; gave birth,True,True,birth|boy|son,True,True,birth|boy|son,True,True,verified_strong
563,إعلان,announcement; advertisement,True,True,advertise|announce,True,True,advertise,True,True,verified_strong
564,شارع,street,True,True,street,True,True,street,True,True,verified_strong
565,جولة,tour; round; trip,True,True,trip,True,True,round|tour,True,True,verified_strong
566,ينتهي,ends; finishes,False,False,,False,False,,True,True,explicit_review_required
567,تغيير,change; alteration,True,True,alter|change,True,True,alter|change,True,True,verified_strong
568,أمين,trustworthy; honest; faithful,True,True,faithful|honest|trustworthy,True,False,,True,True,verified
569,قدر,fate; destiny; amount; ability; estimated,True,True,ability|amount|destiny|fate,True,True,ability|amount|destiny|fate,True,True,verified_strong
570,يحمل,carries; bears; loads/imposes (depending on form),False,False,,False,False,,True,True,explicit_review_required
571,يلعب,plays,False,False,,False,False,,True,True,explicit_review_required
572,يضع,puts; places,False,False,,False,False,,True,True,explicit_review_required
573,يساعد,helps; assists,False,False,,False,False,,True,True,explicit_review_required
574,يموت,dies,False,False,,False,False,,True,True,explicit_review_required
575,خط,line; route,True,True,line,True,True,line|route,True,True,verified_strong
576,هاتف,telephone; phone; telephoned,True,True,telephone,True,True,phone|telephone,True,True,verified_strong
577,علاقات,relations; relationships,True,False,,True,False,,True,True,explicit_review_required
578,عرف,knew; recognized,True,False,,True,False,,True,True,explicit_review_required
579,أخ,brother,True,True,brother,True,True,brother,True,True,verified_strong
580,مواجهة,confrontation; facing,False,False,,True,True,confront,True,True,verified
581,بنك,bank,True,True,bank,False,False,,True,True,verified
582,حرية,freedom; liberty,True,True,freedom|liberty,True,True,freedom|liberty,True,True,verified_strong
583,خدمة,service,True,True,service,True,True,service,True,True,verified_strong
584,حدود,borders; limits,True,False,,True,True,limit,True,True,verified
585,مدى,extent; range,True,True,extent|range,True,True,extent,True,True,verified_strong
586,ليل,night,True,True,night,True,True,night,True,True,verified_strong
587,يملك,owns; possesses,False,False,,False,False,,True,True,explicit_review_required
588,إعلام,media; information/publicity,True,True,inform|media,True,True,inform,True,True,verified_strong
589,أية,any; whichever; which (feminine form أية),True,False,,False,False,,True,True,explicit_review_required
590,زيارة,visit,True,True,visit,True,True,visit,True,True,verified_strong
591,مرأة,woman,True,False,,True,False,,True,True,explicit_review_required
592,صحة,health; correctness,True,True,correctnes|health,True,False,,True,True,verified
593,مناسبة,occasion; event; suitable/appropriate (feminine),True,True,occasion,True,True,event|occasion,True,True,verified_strong
594,قسم,section; department; oath; divided (depending on vocalization),True,True,depart|oath|section,True,True,depart|divid|oath|section,True,True,verified_strong
595,قائمة,list; menu,True,True,list|menu,True,True,list,True,True,verified_strong
596,مشاكل,problems,True,False,,False,False,,True,True,explicit_review_required
597,غريب,strange; foreign; odd,True,True,foreign|strange,True,True,foreign,True,True,verified_strong
598,حقوق,rights,True,True,right,False,False,,True,True,verified
599,جمعية,association; society; organization,True,True,associ|society,True,True,associ|organiz,True,True,verified_strong
600,بيع,sale; selling,True,True,sale,True,True,sale|sell,True,True,verified_strong
601,حاليا,currently; at present,True,True,currently,False,False,,True,True,verified
602,رجاء,request; hope; please (as a polite formula),True,True,hope|request,True,True,hope,True,True,verified_strong
603,أحضر,brought; prepared/presented (depending on form),True,False,,True,False,,True,True,explicit_review_required
604,سيء,bad; poor,True,False,,False,False,,True,True,explicit_review_required
605,سلاح,weapon; arms,True,True,weapon,True,True,arms|weapon,True,True,verified_strong
606,يطلب,asks for; requests; demands,False,False,,False,False,,True,True,explicit_review_required
607,مناطق,regions; areas,True,False,,True,True,area|region,True,True,verified
608,شخصية,personality; character,True,True,character|personality,True,True,character|personality,True,True,verified_strong
609,رياضي,sporting; athletic,True,True,athletic|sport,True,True,sport,True,True,verified_strong
610,يتذكر,remembers,False,False,,False,False,,True,True,explicit_review_required
611,أداء,performance; execution,True,True,execution|performance,True,True,execution|performance,True,True,verified_strong
612,مؤسسة,institution; organization,True,True,institution,True,True,institution|organiz,True,True,verified_strong
613,سعر,price; priced,True,True,price,True,True,price,True,True,verified_strong
614,تراجع,decline; retreat; retreated/declined,True,True,retreat,True,True,decline|retreat,True,True,verified_strong
615,أهمية,importance,True,True,importance,True,True,importance,True,True,verified_strong
616,واضح,clear; obvious,True,True,clear|obviou,False,False,,True,True,verified
617,أحيان,times; occasions (commonly in أحيانًا = sometimes),True,False,,False,False,,True,True,explicit_review_required
618,جريمة,crime,True,True,crime,True,True,crime,True,True,verified_strong
619,مؤكدا,confirmed; certain; confirming/emphasizing (context-dependent),False,False,,False,False,,True,True,explicit_review_required
620,أتى,came; arrived,True,False,,True,False,,True,True,explicit_review_required
621,حالي,current; present,True,True,current,True,False,,True,True,verified
622,يدفع,pays; pushes,False,False,,False,False,,True,True,explicit_review_required
623,تالي,next; following,False,False,,False,False,,True,True,explicit_review_required
624,إقامة,residence; establishment; holding,True,True,establish,True,False,,True,True,verified
625,إنتاج,production; output,True,True,production,True,True,output|production,True,True,verified_strong
626,معا,together,True,True,together,True,True,together,True,True,verified_strong
627,أطلق,launched; released; fired; set free,True,True,free|launch,True,True,free,True,True,verified_strong
628,أنتم,you (masculine plural),True,True,you,False,False,,True,True,verified
629,حماية,protection,True,True,protection,True,True,protection,True,True,verified_strong
630,صور,pictures; images; photographed,True,True,photograph,True,True,imag|photograph|pictur,True,True,verified_strong
631,يتكلم,speaks; talks,False,False,,False,False,,True,True,explicit_review_required
632,إحدى,one of (feminine); one of two,True,False,,False,False,,True,True,explicit_review_required
633,فوق,above; over,True,True,above|over,True,True,above,True,True,verified_strong
634,سوى,except; other than; apart from,True,True,except,True,False,,True,True,verified
635,سجل,record; register; recorded/registered,True,True,record|register,True,True,record|register,True,True,verified_strong
636,وحده,alone; by himself/itself,False,False,,False,False,,True,True,explicit_review_required
637,نساء,women,True,False,,False,False,,True,True,explicit_review_required
638,قصة,story,True,True,story,True,True,story,True,True,verified_strong
639,خذ,take!,False,False,,False,False,,True,True,explicit_review_required
640,طبيب,doctor; physician,True,True,doctor|physician,True,True,doctor|physician,True,True,verified_strong
641,مباشرة,directly; direct; immediate,True,True,directly,True,True,direct|directly,True,True,verified_strong
642,جمهورية,republic,True,True,republic,True,True,republic,True,True,verified_strong
643,بأس,harm; hardship; might; strength; often in لا بأس = no problem/not bad,True,True,strength,True,False,,True,True,verified
644,أشهر,months; more famous/most famous (depending on vocalization),True,True,famou|more|most,True,True,month,True,True,verified_strong
645,ملك,angel (مَلَك); unvocalized spelling can also represent king/possession in other contexts,True,True,angel|king|possession,True,True,angel|king|other|possession,True,True,verified_strong
646,قضاء,judgment; ruling; judiciary; judicial authority; fulfillment/performance,True,False,,False,False,,True,True,explicit_review_required
647,دراسة,study,True,True,study,True,True,study,True,True,verified_strong
648,متأكد,sure; certain; confident,True,True,certain|sure,False,False,,True,True,verified
649,سياسة,politics; policy,True,True,policy|politic,True,True,policy|politic,True,True,verified_strong
650,صعب,was difficult; became hard,True,True,difficult|hard,True,True,difficult|hard,True,True,verified_strong
651,دخل,income; revenue; entered,True,True,enter|income,True,True,enter|income,True,True,verified_strong
652,يقتل,kills; is killed (voice depends on vocalization/context),False,False,,False,False,,True,True,explicit_review_required
653,عالمي,global; worldwide; international,True,True,global|worldwide,False,False,,True,True,verified
654,أمم,nations; peoples,True,False,,True,True,nation,True,True,verified
655,أمل,hope,True,True,hope,True,True,hope,True,True,verified_strong
656,اعتبار,consideration; regard,True,True,regard,True,True,consider,True,True,verified_strong
657,نهائي,final; definitive,True,True,final,False,False,,True,True,verified
658,مئة,one hundred; hundred,True,True,hundr,False,False,,True,True,verified
659,تنظيم,organization; regulation; organizing,True,True,organiz|regul,True,True,organiz|regul,True,True,verified_strong
660,نجاح,success,True,True,succes,True,True,succes,True,True,verified_strong
661,دورة,course; cycle; round; session,True,True,course|cycle|session,True,True,course|cycle|round,True,True,verified_strong
662,لعبة,game; toy,True,True,game|toy,True,True,game|toy,True,True,verified_strong
663,رد,reply; response; return; replied/returned,True,True,reply|return,True,True,reply|response|return,True,True,verified_strong
664,تنمية,development; growth,True,True,develop,True,True,develop,True,True,verified_strong
665,اهتمام,interest; attention; concern,True,True,attention|interest,True,True,attention|interest,True,True,verified_strong
666,إطار,framework; frame,True,True,frame|framework,True,True,framework,True,True,verified_strong
667,أمنية,wish; desire,True,True,desire|wish,True,True,desire|wish,True,True,verified_strong
668,مسؤول,official; person responsible; responsible person,True,True,official|responsible,True,True,official,True,True,verified_strong
669,قائد,leader; commander; driver,True,True,commander|leader,True,True,leader,True,True,verified_strong
670,مصادر,sources,True,False,,True,False,,True,True,explicit_review_required
671,وقع,happened; occurred; fell; was located,True,True,happen|locat,True,True,happen|locat|occurr,True,True,verified_strong
672,مباريات,matches; games,True,False,,True,True,game,True,True,verified
673,لاحق,subsequent; later; following; followed/caught up with,True,True,follow|subsequent,True,True,follow|up,True,True,verified_strong
674,اتصل,contacted; connected; call!/contact!,True,True,call|connect|contact,True,True,call|contact,True,True,verified_strong
675,محاولة,attempt; try,True,True,attempt,True,True,attempt|try,True,True,verified_strong
676,كون,being; existence; formed/created,True,True,existence,True,True,creat|existence,True,True,verified_strong
677,أراد,wanted; desired; intended,True,True,want,True,True,intend|want,True,True,verified_strong
678,إصابة,injury; casualty,True,True,injury,True,True,casualty|injury,True,True,verified_strong
679,عشرة,ten; companionship/association (depending on vocalization),True,True,companionship|ten,True,True,companionship,True,True,verified_strong
680,مهما,whatever; no matter what,True,True,matter|no|what|whatever,False,False,,True,True,verified
681,يمثل,represents; constitutes; acts/portrays,False,False,,False,False,,True,True,explicit_review_required
682,اختيار,choice; selection,True,True,choice,True,True,choice|selection,True,True,verified_strong
683,شهد,witnessed; observed,True,False,,True,True,observ,True,True,verified
684,إجراء,procedure; measure; action; carrying out,True,True,procedure,True,True,action|measure|procedure,True,True,verified_strong
685,صحيفة,newspaper; journal,True,True,journal|newspaper,True,True,newspaper,True,True,verified_strong
686,استمرار,continuation; persistence,True,True,continu|persistence,True,True,continu,True,True,verified_strong
687,شمال,north; left side (depending on vocalization),True,True,left|north|side,True,True,north,True,True,verified_strong
688,فكر,thought; thinking; thought/considered,True,True,consider|think|thought,True,True,consider|think|thought,True,True,verified_strong
