rank,front,en,fr,ur,definition_en,example_ar,example_en,front_in_example,english_gloss_example_support,flags,status
138,فِي المَقَامِ الخَامِسِ,in the fifth place / fifthly,en cinquième lieu / cinquièmement,پانچویں نمبر پر / خامساً,Phrase used to introduce the fifth item in an ordered list of points or reasons.,وَفِي المَقَامِ الخَامِسِ، النَّتِيجَةُ.,"And fifthly, the result.",True,True,,verified
139,بِمَا لَا يَدَعُ مَجَالاً لِلتَّسَاؤُلِ,unquestionable / leaving no room for questioning,incontestable / ne laissant planer aucun doute,جس پر کوئی سوال نہ اٹھایا جا سکے,Phrase used to describe a fact or decision that is so clear and justified that it cannot be challenged.,كَانَ العُذْرُ بِمَا لَا يَدَعُ مَجَالاً لِلتَّسَاؤُلِ.,The excuse was unquestionable.,True,True,,verified
140,مِنْ فَتْرَةٍ لِأُخْرَى,from time to time / periodically,de temps en temps / périodiquement,وقت بہ وقت,(Similar to 'ala fatarat'). Phrase describing an action that happens at intervals over time.,نُحَدِّثُ المَعْلُومَاتِ مِنْ فَتْرَةٍ لِأُخْرَى.,We update the information from time to time.,True,True,,verified
141,مِنَ الصَّعْبِ تَجَنُّبُهُ,hard to avoid / inevitable,difficile à éviter / inévitable,جس سے بچنا مشکل ہو,Phrase used to describe something that is certain to happen or cannot be easily circumvented.,هَذَا الخَطَرُ مِنَ الصَّعْبِ تَجَنُّبُهُ.,This danger is hard to avoid.,True,True,,verified
142,فِي هَذِهِ المَرْحَلَةِ,at this stage / at this phase,à ce stade / à cette étape,اس مرحلے پر,Phrase used to indicate the current point in a process or period of development.,نَحْنُ فِي هَذِهِ المَرْحَلَةِ نُخَطِّطُ.,We are at this stage planning.,True,True,,verified
143,بِدُونِ تَأَخُّرٍ,without delay / immediately,sans tarder / sans délai,تاخیر کے بغیر,(Similar to 'bidun ayyi takhir'). Phrase emphasizing the urgency of an action.,سَلِّمِ العَمَلَ بِدُونِ تَأَخُّرٍ.,Submit the work without delay.,True,True,,verified
144,فِي المَدَى البَعِيدِ,in the long run / in the long term,à long terme,طویل مدت میں / لمبے عرصے میں,Phrase referring to the period of time far in the future or the ultimate outcome of a process.,سَيَكُونُ هَذَا مُفِيدًا فِي المَدَى البَعِيدِ.,This will be useful in the long run.,True,True,,verified
145,بِغَضِّ النَّظَرِ عَنِ المَوْقِفِ,regardless of the situation,quelle que soit la situation,صورتحال سے قطع نظر,Phrase asserting that a statement or commitment holds true no matter what the current circumstances are.,سَأُسَاعِدُكَ بِغَضِّ النَّظَرِ عَنِ المَوْقِفِ.,I will help you regardless of the situation.,True,True,,verified
146,عَلَى قَدَمِ المُسَاوَاةِ,on equal footing / as equals,sur un pied d'égalité / à égalité,برابری کی سطح پر,Idiomatic phrase used to indicate that two or more parties are treated or acting with the same rights and status.,نَحْنُ نَعْمَلُ عَلَى قَدَمِ المُسَاوَاةِ.,We work on equal footing.,True,True,,verified
147,بِمَحْضِ اِخْتِيَارِهِ,of his own choice / by his own selection,par son propre choix,اپنی پسند سے,(Similar to 'bimahdi iradatihi'). Phrase emphasizing that an action was a result of the person's own preference.,قَرَّرَ ذَلِكَ بِمَحْضِ اِخْتِيَارِهِ.,He decided that by his own choice.,True,True,,verified
148,فِي ظِلِّ الظُّرُوفِ الرَّاهِنَةِ,under the current circumstances / given the present situation,dans les circonstances actuelles / compte tenu de la situation actuelle,موجودہ حالات کے پیش نظر,Phrase used to qualify a statement by the reality of the existing situation.,هَذَا مُمْكِنٌ فِي ظِلِّ الظُّرُوفِ الرَّاهِنَةِ.,This is possible under the current circumstances.,True,True,,verified
149,عَلَى حَدِّ عِلْمِي,to the best of my knowledge / as far as I know,à ma connaissance / autant que je sache,جہاں تک مجھے معلوم ہے,Phrase used to qualify a statement by indicating it is true based only on the information the speaker currently has.,هُوَ لَيْسَ هُنَا، عَلَى حَدِّ عِلْمِي.,"He is not here, as far as I know.",True,True,,verified
150,بِغَرَضِ التَّدْرِيبِ,for the purpose of training / for practice,à des fins de formation / pour s'entraîner,تربیت کی غرض سے / مشق کے لیے,Phrase used when an action is performed to develop a skill or prepare for a specific task.,نَفْعَلُ ذَلِكَ بِغَرَضِ التَّدْرِيبِ.,We do that for the purpose of training.,True,True,,verified
151,فِي المَقَامِ السَّادِسِ,in the sixth place / sixthly,en sixième lieu / sixièmement,چھٹے نمبر پر / سادساً,Phrase used to introduce the sixth item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّادِسِ، الخَاتِمَةُ.,"And sixthly, the conclusion.",True,True,,verified
152,بِمَا لَا يَدَعُ مَجَالاً لِلخَوْفِ,leaving no room for fear / reassuringly,de manière rassurante / sans laisser de place à la peur,جس میں خوف کی کوئی گنجائش نہ ہو,Phrase used to describe a situation or plan that is so secure and well-managed that it removes any anxiety.,شَرَحَ الخُطَّةَ بِمَا لَا يَدَعُ مَجَالاً لِلخَوْفِ.,He explained the plan leaving no room for fear.,True,True,,verified
153,مِنَ الصَّعْبِ الوُصُولُ إِلَيْهِ,hard to reach / inaccessible,difficile à atteindre / inaccessible,جس تک پہنچنا مشکل ہو,"Phrase used to describe a place, person, or goal that is physically or figuratively distant or protected.",هَذَا المَكَانُ مِنَ الصَّعْبِ الوُصُولُ إِلَيْهِ.,This place is hard to reach.,True,True,,verified
154,فِي هَذَا المَوْقِفِ,in this situation / in this predicament,dans cette situation / dans cette position,اس صورتحال میں / اس موقف پر,Phrase focusing on the specific circumstances or the ethical/practical standing a person finds themselves in.,مَاذَا تَفْعَلُ فِي هَذَا المَوْقِفِ؟,What do you do in this situation?,True,True,,verified
155,بِدُونِ عِلْمِي,without my knowledge / behind my back,à mon insu / sans que je le sache,میری لاعلمی میں / میری اجازت کے بغیر,Phrase used when an action is performed without the speaker being aware of it or giving consent.,فَعَلَ ذَلِكَ بِدُونِ عِلْمِي.,He did that without my knowledge.,True,True,,verified
156,فِي المَدَى القَرِيبِ,in the short term / in the near future,à court terme / dans un avenir proche,مختصر مدت میں / جلد ہی,Phrase referring to the period of time that is about to happen or will occur very soon.,نَتَوَقَّعُ نَتَائِجَ فِي المَدَى القَرِيبِ.,We expect results in the short term.,True,True,,verified
157,بِغَضِّ النَّظَرِ عَنِ العُمْرِ,regardless of age,quel que soit l'âge,عمر سے قطع نظر,"Phrase asserting that an action, rule, or opportunity applies to everyone irrespective of how old they are.",الرِّيَاضَةُ مُفِيدَةٌ بِغَضِّ النَّظَرِ عَنِ العُمْرِ.,Sports are beneficial regardless of age.,True,True,,verified
158,عَلَى رَأْسِ,at the head of / in charge of / at the top of,à la tête de / au sommet de,کے سربراہ کے طور پر / کی چوٹی پر,Prepositional phrase indicating leadership of a group or physical position at the peak of something.,هُوَ عَلَى رَأْسِ العَمَلِ.,He is in charge of (at the head of) the work.,True,True,,verified
159,بِمَحْضِ تَقْدِيرِ الإِدَارَةِ,at the sole discretion of the management,à la seule discrétion de la direction,انتظامیہ کی اپنی صوابدید پر,Formal phrase indicating that a decision lies entirely with the governing body of an organization.,القَرَارُ يَعُودُ بِمَحْضِ تَقْدِيرِ الإِدَارَةِ.,The decision is at the sole discretion of the management.,True,True,,verified
160,فِي المَحَصِّلَةِ النِّهَائِيَّةِ,in the final analysis / ultimately,en fin de compte / au bout du compte,حتمی نتیجے میں / آخرکار,Phrase used to describe the absolute final result after all inputs and factors have been summed up.,فِي المَحَصِّلَةِ النِّهَائِيَّةِ، نَحْنُ الفَائِزُونَ.,"In the final analysis, we are the winners.",True,True,,verified
161,عَلَى مَدَارِ السَّنَةِ,year-round / throughout the year,toute l'année / tout au long de l'année,سارا سال / سال بھر,Temporal phrase indicating that something happens or is available continuously through all four seasons.,الفَاكِهَةُ مَوْجُودَةٌ عَلَى مَدَارِ السَّنَةِ.,Fruit is available year-round.,True,True,,verified
162,بِغَرَضِ التَّسْلِيَةِ,for the purpose of entertainment / for fun,pour se divertir / pour s'amuser,تفریح کی غرض سے / کھیل کود کے لیے,Phrase used when an action is performed for enjoyment rather than a serious or professional goal.,نَلْعَبُ بِغَرَضِ التَّسْلِيَةِ.,We play for the purpose of entertainment.,True,True,,verified
163,فِي المَقَامِ السَّابِعِ,in the seventh place / seventhly,en septième lieu / septièmement,ساتویں نمبر پر / سابعاً,Phrase used to introduce the seventh item in an ordered list of points or reasons.,وَفِي المَقَامِ السَّابِعِ، المِيزَانِيَّةُ.,"And seventhly, the budget.",True,True,,verified
164,بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِجَاجِ,indisputable / leaving no room for protest,incontestable / ne laissant aucune place à la protestation,جس پر کوئی احتجاج نہ کیا جا سکے,Phrase used to describe a decision or fact that is so clearly fair or true that it cannot be argued against.,كَانَ الحُكْمُ بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِجَاجِ.,The judgment was indisputable.,True,True,,verified
165,مِنَ الصَّعْبِ تَحَمُّلُهُ,hard to bear / unbearable,difficile à supporter / insupportable,جسے برداشت کرنا مشکل ہو,"Phrase used to describe physical pain, emotional distress, or a situation that is extremely taxing.",هَذَا الوَجَعُ مِنَ الصَّعْبِ تَحَمُّلُهُ.,This pain is hard to bear.,True,True,,verified
166,فِي هَذَا المَجَالِ,in this field / in this area of expertise,dans ce domaine / dans ce secteur,اس شعبے میں / اس میدان میں,Phrase used to link a statement to a specific professional or academic domain.,هُوَ خَبِيرٌ فِي هَذَا المَجَالِ.,He is an expert in this field.,True,True,,verified
167,بِدُونِ مُقَابِلٍ,for free / without return / without payment,gratuitement / sans contrepartie,بغیر کسی معاوضے کے / مفت میں,Phrase used when an action is performed or an item is given without expecting anything in exchange.,سَاعَدَنِي بِدُونِ مُقَابِلٍ.,He helped me without return.,True,True,,verified
168,فِي المَدَى المَتَوَسِّطِ وَالبَعِيدِ,in the medium and long term,à moyen et long terme,درمیانی اور طویل مدت میں,Phrase describing strategies or effects that are expected to unfold over several years into the future.,الخُطَّةُ تَهْدِفُ لِلنَّجَاحِ فِي المَدَى المَتَوَسِّطِ وَالبَعِيدِ.,The plan aims for success in the medium and long term.,True,True,,verified
169,بِغَضِّ النَّظَرِ عَنِ الجِنْسِيَّةِ,regardless of nationality,quelle que soit la nationalité,قومیت سے قطع نظر,Phrase asserting that a rule or opportunity is open to everyone no matter which country they belong to.,القَبُولُ مُتَاحٌ بِغَضِّ النَّظَرِ عَنِ الجِنْسِيَّةِ.,Admission is available regardless of nationality.,True,True,,verified
170,عَلَى مَتْنِ,"on board (a ship, plane, or train)",à bord de,(جہاز یا ٹرین) کے سوار,Prepositional phrase used specifically for being inside or on a large transport vehicle.,كَانَ عَلَى مَتْنِ السَّفِينَةِ.,He was on board the ship.,True,True,,verified
171,بِمَحْضِ صُدْفَةٍ بَحْتَةٍ,by absolute pure chance,par pur et simple hasard,محض خالص اتفاق سے,Double emphatic phrase emphasizing that something occurred with zero planning or expectation.,اِلْتَقَيْنَا بِمَحْضِ صُدْفَةٍ بَحْتَةٍ.,We met by absolute pure chance.,True,True,,verified
172,فِي حَالِ وُجُودِ شَكٍّ,in case of doubt / if you have any doubts,en cas de doute / si vous avez un doute,شک کی صورت میں,Phrase used to provide instructions on what to do if the listener is unsure about a fact or a situation.,اِسْأَلِ الطَّبِيبَ فِي حَالِ وُجُودِ شَكٍّ.,Ask the doctor in case of doubt.,True,True,,verified
173,عَلَى مَدَى العُقُودِ,over the decades,au fil des décennies,دہائیوں کے دوران,Temporal phrase used to describe long-term historical or social shifts spanning several ten-year periods.,تَغَيَّرَ العَالَمُ عَلَى مَدَى العُقُودِ.,The world changed over the decades.,True,True,,verified
174,فِي المَقَامِ الثَّامِنِ,in the eighth place / eighthly,en huitième lieu / huitièmement,آٹھویں نمبر پر / ثامناً,Phrase used to introduce the eighth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّامِنِ، المَوْقِعُ.,"And eighthly, the location.",True,True,,verified
175,بِمَا لَا يَدَعُ مَجَالاً لِلشُّكُوكِ,beyond suspicion / leaving no room for doubts,sans l'ombre d'un doute / au-dessus de tout soupçon,جس میں شکوک کی کوئی گنجائش نہ ہو,(Similar to 'la yada'u majalan lil-shakk'). Strong emphatic phrase asserting absolute innocence or truth.,كَانَ بَرِيئًا بِمَا لَا يَدَعُ مَجَالاً لِلشُّكُوكِ.,He was innocent beyond suspicion.,True,True,,verified
176,مِنَ الصَّعْبِ تَفَادِيهِ,hard to avoid / difficult to escape,difficile à éviter / difficile d'y échapper,جس سے بچنا / پیچھا چھڑانا مشکل ہو,"Phrase used to describe an obstacle, a mistake, or a consequence that is almost certain to be encountered.",هَذَا الخَطَأُ مِنَ الصَّعْبِ تَفَادِيهِ.,This mistake is hard to avoid.,True,True,,verified
177,فِي هَذَا الإِطَارِ الزَّمَنِيِّ,in this timeframe / within this period,dans ce délai / dans cette période,اس وقت کے دائرہ کار میں / اس مدت میں,Phrase focusing on the temporal limits within which an action must be completed.,يَجِبُ الاِنْتِهَاءُ فِي هَذَا الإِطَارِ الزَّمَنِيِّ.,Completion must be within this timeframe.,True,True,,verified
178,بِدُونِ تَحَفُّظٍ,without reservation / unreservedly / wholeheartedly,sans réserve / sans retenue,بغیر کسی تحفظ کے / کھلے دل سے,"Phrase used when giving support, agreement, or an opinion fully and without any hidden doubts or conditions.",وَافَقَ عَلَى الخُطَّةِ بِدُونِ تَحَفُّظٍ.,He agreed to the plan without reservation.,True,True,,verified
179,فِي المَدَى المَنْظُورِ جِدًّا,in the very near future / imminently,dans un avenir très proche / imminemment,بہت ہی قریب ترین مستقبل میں,Emphatic phrase referring to an event that is almost certain to happen in the coming days or weeks.,سَنَرَى التَّغْيِيرَ فِي المَدَى المَنْظُورِ جِدًّا.,We will see the change in the very near future.,True,True,,verified
180,بِغَضِّ النَّظَرِ عَنِ الاِنْتِمَاءِ,regardless of affiliation / regardless of belonging,quelle que soit l'appartenance / sans distinction d'affiliation,وابستگی سے قطع نظر,"Phrase asserting that a treatment or rule is unbiased toward a person's political, religious, or social groups.",الخِدْمَةُ لِلْجَمِيعِ بِغَضِّ النَّظَرِ عَنِ الاِنْتِمَاءِ.,Service is for everyone regardless of affiliation.,True,True,,verified
181,عَلَى نَحْوٍ مُتَزَايِدٍ,increasingly / more and more,de plus en plus / de manière croissante,تیزی سے بڑھتے ہوئے / مسلسل اضافے کے ساتھ,Adverbial phrase describing a trend or condition that is becoming more common or intense over time.,يَتَطَوَّرُ العَالَمُ عَلَى نَحْوٍ مُتَزَايِدٍ.,The world is developing increasingly.,True,True,,verified
182,بِمَحْضِ تَقْدِيرِ القَاضِي,at the judge's sole discretion,à la seule discrétion du juge,جج کی اپنی صوابدید پر,Legal phrase indicating that the final decision in a court case rests entirely with the judge's evaluation.,العُقُوبَةُ بِمَحْضِ تَقْدِيرِ القَاضِي.,The penalty is at the judge's sole discretion.,True,True,,verified
183,فِي حَالِ تَعَذُّرِ الوُصُولِ,in case of inability to reach / if unreachable,en cas d'impossibilité d'accès / si inaccessible,پہنچنا ناممکن ہونے کی صورت میں,Conditional phrase providing an alternative plan if a person or a destination cannot be accessed.,اِتَّصِلْ بِالمَكْتَبِ فِي حَالِ تَعَذُّرِ الوُصُولِ.,Call the office in case of inability to reach (me).,True,True,,verified
184,عَلَى مَدَى القُرُونِ,over the centuries,à travers les siècles,صدیوں کے دوران,Temporal phrase describing shifts or developments spanning hundreds of years.,تَطَوَّرَتِ اللُّغَةُ عَلَى مَدَى القُرُونِ.,The language evolved over the centuries.,True,True,,verified
185,فِي المَقَامِ التَّاسِعِ,in the ninth place / ninthly,en neuvième lieu / neuvièmement,نویں نمبر پر / تاسعاً,Phrase used to introduce the ninth item in an ordered list of points or reasons.,وَفِي المَقَامِ التَّاسِعِ، الجَوْدَةُ.,"And ninthly, the quality.",True,True,,verified
186,بِمَا لَا يَدَعُ مَجَالاً لِلنِّقَاشِ,non-negotiable / leaving no room for discussion,non négociable / indiscutable,جس پر کسی بحث کی گنجائش نہ ہو,"Phrase used to describe a rule, decision, or fact that is final and not open to further talk.",القَرَارُ نِهَائِيٌّ بِمَا لَا يَدَعُ مَجَالاً لِلنِّقَاشِ.,"The decision is final, leaving no room for discussion.",True,True,,verified
187,مِنْ فَتْرَةٍ قَصِيرَةٍ,a short while ago / recently,il y a peu de temps / récemment,تھوڑی دیر پہلے / حال ہی میں,Temporal phrase referring to the immediate past.,وَصَلَ مِنْ فَتْرَةٍ قَصِيرَةٍ.,He arrived a short while ago.,True,True,,verified
188,عَلَى نِطَاقٍ بِيئِيٍّ,on an environmental scale / ecologically,à l'échelle environnementale / écologiquement,ماحولیاتی سطح پر,Phrase describing factors or policies that impact the ecosystem and the natural world.,التَّأْثِيرُ وَاضِحٌ عَلَى نِطَاقٍ بِيئِيٍّ.,The impact is clear on an environmental scale.,True,True,,verified
189,فِي هَذَا الظَّرْفِ الصَّعْبِ,in this difficult circumstance / in this predicament,dans cette situation difficile / dans ces circonstances difficiles,اس مشکل صورتحال میں / اس کڑے وقت میں,Phrase focusing on the challenging and taxing nature of the current situation.,نَحْتَاجُ لِلصَّبْرِ فِي هَذَا الظَّرْفِ الصَّعْبِ.,We need patience in this difficult circumstance.,True,True,,verified
190,فِي المَدَى المَنْظُورِ القَرِيبِ,in the very near future,dans un avenir très proche,بہت ہی قریب ترین مستقبل میں,(Similar to 'al-manzur jiddan'). Emphatic phrase referring to an event expected almost immediately.,سَنَعْلَمُ الحَقِيقَةَ فِي المَدَى المَنْظُورِ القَرِيبِ.,We will know the truth in the very near future.,True,True,,verified
191,بِغَضِّ النَّظَرِ عَنِ التَّوَجُّهِ,regardless of orientation / regardless of direction,quelle que soit l'orientation / sans distinction de tendance,رجحان سے قطع نظر,Phrase asserting that a treatment or principle is neutral toward political or personal inclinations.,نَحْتَرِمُ الجَمِيعَ بِغَضِّ النَّظَرِ عَنِ التَّوَجُّهِ.,We respect everyone regardless of orientation.,True,True,,verified
192,عَلَى نَحْوٍ تَدْرِيجِيٍّ,gradually / step by step,graduellement / petit à petit,بتدریج / رفتہ رفتہ,Adverbial phrase describing a change or process that happens slowly and in ordered stages.,تَتَحَسَّنُ الصِّحَّةُ عَلَى نَحْوٍ تَدْرِيجِيٍّ.,Health improves gradually.,True,True,,verified
193,بِمَحْضِ تَقْدِيرِ الخَبِيرِ,at the expert's sole discretion,à la seule discrétion de l'expert,ماہر کی اپنی صوابدید پر,Phrase indicating that the final technical judgment rests entirely with a qualified professional.,النَّتِيجَةُ تَعُودُ بِمَحْضِ تَقْدِيرِ الخَبِيرِ.,The result is at the expert's sole discretion.,True,True,,verified
194,فِي حَالِ طَلَبِ المَزِيدِ,in case more is requested / if more is needed,au cas où davantage serait demandé / si besoin est,مزید طلب ہونے کی صورت میں,"Conditional phrase providing instructions for providing additional information, items, or effort if asked.",أَنَا جَاهِزٌ فِي حَالِ طَلَبِ المَزِيدِ.,I am ready in case more is requested.,True,True,,verified
195,عَلَى مَدَى الأَجْيَالِ,over the generations,au fil des générations,نسلوں کے دوران,"Temporal phrase used to describe knowledge, traditions, or physical changes passed from parents to children over long periods.",اِنْتَقَلَتِ القِصَّةُ عَلَى مَدَى الأَجْيَالِ.,The story was passed down over the generations.,True,True,,verified
196,فِي المَقَامِ العَاشِرِ,in the tenth place / tenthly,en dixième lieu / dixièmement,دسویں نمبر پر / عاشراً,Phrase used to introduce the tenth item in an ordered list of points or reasons.,وَفِي المَقَامِ العَاشِرِ، الخَاتِمَةُ.,"And tenthly, the conclusion.",True,True,,verified
197,بِمَا لَا يَدَعُ مَجَالاً لِلانْفِصَالِ,inseparable / leaving no room for separation,inséparable / ne laissant aucune place à la séparation,جس میں علیحدگی کی کوئی گنجائش نہ ہو,"Phrase used to describe two concepts, entities, or people that are so tightly bound that they cannot be considered apart.",الحَقِيقَةُ وَالعَدْلُ مُرْتَبِطَانِ بِمَا لَا يَدَعُ مَجَالاً لِلانْفِصَالِ.,Truth and justice are linked inseparably.,True,False,english_gloss_not_visible_in_example_translation,explicit_review_required
198,مِنَ الصَّعْبِ تَخَيُّلُهُ,hard to imagine / inconceivable,difficile à imaginer / inconcevable,جس کا تصور کرنا مشکل ہو,"Phrase used to describe a concept, a scenario, or a future state that is so different from reality that it is hard to grasp mentally.",العَالَمُ بِدُونِ تِكْنُولُوجْيَا مِنَ الصَّعْبِ تَخَيُّلُهُ.,A world without technology is hard to imagine.,True,True,,verified
199,عَلَى نِطَاقٍ حَضَرِيٍّ,on an urban scale / city-wide,à l'échelle urbaine / au niveau de la ville,شہری سطح پر,"Phrase describing factors, policies, or developments that impact a city or metropolitan area.",التَّخْطِيطُ يَتِمُّ عَلَى نِطَاقٍ حَضَرِيٍّ.,Planning is done on an urban scale.,True,True,,verified
200,فِي هَذَا الوَضْعِ الرَّاهِنِ,in this current situation / in the status quo,dans la situation actuelle / dans le statu quo,اس موجودہ صورتحال میں,Phrase focusing on the reality of the existing state of affairs at the present time.,يَصْعُبُ التَّغْيِيرُ فِي هَذَا الوَضْعِ الرَّاهِنِ.,Change is difficult in this status quo.,True,True,,verified
201,بِدُونِ تَمْيِيزٍ,without discrimination / indiscriminately / equally,sans discrimination / sans distinction,بغیر کسی امتیاز کے / بلا تفریق,"Phrase asserting that a treatment, law, or opportunity is applied to everyone with absolute equality.",نُسَاعِدُ الجَمِيعَ بِدُونِ تَمْيِيزٍ.,We help everyone without discrimination.,True,True,,verified
202,فِي المَدَى المَنْظُورِ المُسْتَقْبَلِيِّ,in the foreseeable future,dans un avenir prévisible,قابلِ پیش گوئی مستقبل میں,(Similar to 'al-mada al-manzur'). Refers to the time period that can be reasonably predicted based on current data.,لَا نَرَى أَيَّ مُشْكِلَةٍ فِي المَدَى المَنْظُورِ المُسْتَقْبَلِيِّ.,We don't see any problem in the foreseeable future.,True,True,,verified
203,بِغَضِّ النَّظَرِ عَنِ الدِّينِ,regardless of religion,quelle que soit la religion / sans distinction de culte,مذہب سے قطع نظر,Phrase asserting that a treatment or principle is neutral toward a person's religious beliefs or faith.,الحُقُوقُ مَضْمُونَةٌ بِغَضِّ النَّظَرِ عَنِ الدِّينِ.,Rights are guaranteed regardless of religion.,True,True,,verified
204,عَلَى مَقْرُبَةٍ مِنَ التَّحَقُّقِ,close to being realized / near fulfillment,sur le point de se réaliser / proche de l'accomplissement,حقیقت بننے کے قریب / پورا ہونے کے نزدیک,"Phrase indicating that a goal, dream, or project is very close to actually happening or being completed.",الحُلْمُ عَلَى مَقْرُبَةٍ مِنَ التَّحَقُّقِ.,The dream is close to being realized.,True,True,,verified
205,بِمَحْضِ تَقْدِيرِ الجُمْهُورِ,at the public's sole discretion / up to the audience,à la seule discrétion du public / au jugement du public,عوام کی اپنی صوابدید پر,Phrase indicating that the success or final judgment of something depends entirely on how the general public evaluates it.,النَّجَاحُ يَعُودُ بِمَحْضِ تَقْدِيرِ الجُمْهُورِ.,Success is at the public's sole discretion.,True,True,,verified
206,فِي حَالِ تَغَيُّرِ الخُطَّةِ,in case the plan changes / if the plan is modified,en cas de modification du plan / si le plan change,منصوبہ تبدیل ہونے کی صورت میں,Conditional phrase providing instructions for when the original strategy or schedule is altered.,أَعْلِمْنِي فِي حَالِ تَغَيُّرِ الخُطَّةِ.,Let me know in case the plan changes.,True,True,,verified
207,عَلَى مَدَى الحَيَاةِ الزَّوْجِيَّةِ,over the course of married life,au cours de la vie conjugale,ازدواجی زندگی کے دوران,Temporal phrase describing events or changes that happen during the duration of a marriage.,تَعَاوَنَا عَلَى مَدَى الحَيَاةِ الزَّوْجِيَّةِ.,They cooperated over the course of married life.,True,True,,verified
208,فِي المَقَامِ الحَادِي عَشَرَ,in the eleventh place / eleventhly,en onzième lieu / onzièmement,گیارہویں نمبر پر,Phrase used to introduce the eleventh item in an ordered list of points or reasons.,وَفِي المَقَامِ الحَادِي عَشَرَ، المَكَانُ.,"And eleventhly, the place.",True,True,,verified
209,بِمَا لَا يَدَعُ مَجَالاً لِلنِّسْيَانِ,unforgettable / leaving no room for forgetting,inoubliable / ne laissant aucune place à l'oubli,جسے کبھی فراموش نہ کیا جا سکے,"Phrase used to describe an event, person, or lesson so impactful that it remains permanently in the memory.",كَانَتْ ذِكْرَى بِمَا لَا يَدَعُ مَجَالاً لِلنِّسْيَانِ.,It was an unforgettable memory.,True,True,,verified
210,مِنْ لَحْظَتِهَا,from that moment / instantly,dès cet instant / instantanément,اسی لمحے سے / فوراً,Temporal phrase indicating that an action started immediately after a specific event.,تَغَيَّرَ كُلُّ شَيْءٍ مِنْ لَحْظَتِهَا.,Everything changed from that moment.,True,True,,verified
211,مِنَ الصَّعْبِ تَحْدِيدُهُ,hard to define / difficult to specify,difficile à définir / difficile à préciser,جس کی وضاحت / تعین کرنا مشکل ہو,"Phrase used to describe a concept, a quantity, or a location that is vague or hard to pinpoint exactly.",مَكَانُ الحَادِثِ مِنَ الصَّعْبِ تَحْدِيدُهُ.,The location of the accident is hard to specify.,True,True,,verified
212,فِي هَذِهِ الأَزْمَةِ,in this crisis / during this emergency,dans cette crise / pendant cette urgence,اس بحران میں / اس ہنگامی صورتحال میں,Phrase focusing on the critical and dangerous nature of the current time period.,يَجِبُ التَّعَاوُنُ فِي هَذِهِ الأَزْمَةِ.,Cooperation is necessary in this crisis.,True,True,,verified
213,بِدُونِ مُنَازِعٍ,undisputed / without a rival / unrivaled,sans conteste / sans rival / incontesté,بلا مقابلہ / جس کا کوئی حریف نہ ہو,"Phrase used to describe a winner, a leader, or a truth that is so superior that no one can challenge it.",هُوَ البَطَلُ بِدُونِ مُنَازِعٍ.,He is the undisputed champion.,True,True,,verified
214,فِي المَدَى المَنْظُورِ القَرِيبِ جِدًّا,in the very immediate future,dans un avenir très immédiat,انتہائی قریب ترین مستقبل میں,(Triple emphatic). Refers to something happening in the next few moments or hours.,سَنَنْطَلِقُ فِي المَدَى المَنْظُورِ القَرِيبِ جِدًّا.,We will set off in the very immediate future.,True,True,,verified
215,بِغَضِّ النَّظَرِ عَنِ المَنْصِبِ,regardless of position / regardless of rank,quel que soit le poste / sans distinction de grade,عہدے سے قطع نظر,Phrase asserting that a rule or treatment applies to everyone no matter their job title or authority level.,القَانُونُ يُطَبَّقُ بِغَضِّ النَّظَرِ عَنِ المَنْصِبِ.,The law is applied regardless of position.,True,True,,verified
216,عَلَى نَحْوٍ مُفَاجِئٍ,suddenly / unexpectedly,soudainement / de manière inattendue,اچانک / ناگہانی طور پر,Adverbial phrase describing an event that happens without prior warning or preparation.,تَوَقَّفَ القِطَارُ عَلَى نَحْوٍ مُفَاجِئٍ.,The train stopped suddenly.,True,True,,verified
217,بِمَحْضِ تَقْدِيرِ السُّلُطَاتِ,at the sole discretion of the authorities,à la seule discrétion des autorités,حکام کی اپنی صوابدید پر,Formal phrase indicating that a decision lies entirely with the government or official bodies.,المَنْعُ بِمَحْضِ تَقْدِيرِ السُّلُطَاتِ.,The ban is at the sole discretion of the authorities.,True,True,,verified
218,فِي حَالِ وُقُوعِ ضَرَرٍ,in the event of damage / if harm occurs,en cas de dommage / si un préjudice survient,نقصان ہونے کی صورت میں,Conditional phrase providing instructions or insurance for when physical or financial harm happens.,سَنُعَوِّضُكَ فِي حَالِ وُقُوعِ ضَرَرٍ.,We will compensate you in the event of damage.,True,True,,verified
219,عَلَى مَدَى أَيَّامٍ مُتَتَالِيَةٍ,over consecutive days,pendant plusieurs jours consécutifs,مسلسل کئی دنوں تک,Temporal phrase used to describe an action that repeats or continues without a break for several days.,اِسْتَمَرَّ المَطَرُ عَلَى مَدَى أَيَّامٍ مُتَتَالِيَةٍ.,Rain continued over consecutive days.,True,True,,verified
