rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
851,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ السُّوسِيُولُوجِيِّ,من الصعب تفادي الوقوع في هذا الشراك السوسيولوجي,hard to avoid falling into this sociological web / societal trap,difficile d'éviter de tomber dans ce tissu de pièges sociologiques,اس عمرانیاتی جال (سماجی شکنجے) میں گرنے سے بچنا مشکل ہو,"Phrase used when a person is caught in a tradition, a social class, or a community rule that controls their entire life and they cannot escape from it.",غَرِقَ فِي العَاداتِ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ السُّوسِيُولُوجِيِّ.,He sank into habits and it was hard to avoid falling into this sociological web.,— (multiword expression; no single lexical root),"خَطَرٌ اِجْتِمَاعِيٌّ شَامِلٌ, فَخٌّ تَقْلِيدِيٌّ لا مَفَرَّ مِنْهُ",8,0.750,الشراك|السوسيولوجي,11,0.818,الشراك|السوسيولوجي,low_calima_front_coverage,explicit_review_required
854,عَلَى وَشْكِ التَّلاشِي السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ الشَّامِلِ,على وشك التلاشي السوسيولوجي الإيكولوجي الشامل,on the verge of total sociological and ecological disappearance / death of social-nature,sur le point de la disparition sociologique et écologique totale / mort de la nature sociale,مکمل عمرانیاتی اور ایکولوجیکل طور پر مٹ جانے (سماج اور فطرت ختم ہونے) کے دہانے پر,"Phrase describing a civilization that is about to lose both its people's habits and its natural world simultaneously, leaving a dead rock with no culture.",العَالَمُ عَلَى وَشْكِ التَّلاشِي السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ الشَّامِلِ.,The world is on the verge of total sociological and ecological disappearance.,— (multiword expression; no single lexical root),"نِهَايَةُ الحَيَاةِ البَشَرِيَّةِ الطَّبِيعِيَّةِ, ضَيَاعُ الكَوْكَبِ كُلِّيًّا",6,0.667,السوسيولوجي|الإيكولوجي,7,0.714,السوسيولوجي|الإيكولوجي,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
856,بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ الإِيكُولُوجِيَّةِ,بغرض الاستمالة السوسيولوجية الإيكولوجية,for the purpose of sociological and ecological winning over / social-nature appeal,à des fins de séduction sociologique et écologique / d'attrait de la nature sociale,عمرانیاتی اور ایکولوجیکل طور پر مائل کرنے کی غرض سے,Phrase used when an action is taken to convince someone by using the power of community habits and the absolute balance of the natural world.,نَظَّمَ القَرْيَةَ بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ الإِيكُولُوجِيَّةِ.,He organized the village for the purpose of sociological and ecological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالمُجْتَمَعِ وَالطَّبِيعَةِ, لِلْعَالَمِ البَشَرِيِّ البِيئِيِّ",4,0.250,الاستمالة|السوسيولوجية|الإيكولوجية,6,0.500,الاستمالة|السوسيولوجية|الإيكولوجية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
865,بِغَرَضِ الاِسْتِمَالَةِ الجِيُوفِيزْيَائِيَّةِ الطَّاقِيَّةِ,بغرض الاستمالة الجيوفيزيائية الطاقية,for the purpose of geo-physical and energetic winning over / power-appeal,à des fins de séduction géophysique et énergétique / d'attrait de puissance,جیو فزیکل اور توانائی کے لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of the Earth's forces, heat, electricity, and the absolute reality of energy.",بَنَى المَحَطَّةَ بِغَرَضِ الاِسْتِمَالَةِ الجِيُوفِيزْيَائِيَّةِ الطَّاقِيَّةِ.,He built the station for the purpose of geo-physical and energetic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِقُوَّةِ المَادَّةِ, لِلْعَالَمِ الأَرْضِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
868,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ الإِيكُولُوجِيِّ,من الصعب تفادي الوقوع في هذا الشراك الإيكولوجي,hard to avoid falling into this ecological web / environmental trap,difficile d'éviter de tomber dans ce tissu de pièges écologiques,اس ایکولوجیکل جال (ماحولیاتی شکنجے) میں گرنے سے بچنا مشکل ہو,"Phrase used when a person or a city is caught in a drought, a flood, or a planetary climate shift that they cannot escape from no matter how much they plan.",جَفَّ المَطَرُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ الإِيكُولُوجِيِّ.,Rain dried up and it was hard to avoid falling into this ecological web.,— (multiword expression; no single lexical root),"خَطَرٌ بِيئِيٌّ شَامِلٌ, فَخٌّ طَبِيعِيٌّ لا مَفَرَّ مِنْهُ",8,0.750,الشراك|الإيكولوجي,10,0.800,الشراك|الإيكولوجي,low_calima_front_coverage,explicit_review_required
872,بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ المَعْلُومَاتِيَّةِ,بغرض الاستمالة الإحصائية المعلوماتية,for the purpose of statistical and informational winning over / data-appeal,à des fins de séduction statistique et informationnelle / d'attrait de données,شماریاتی اور معلوماتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of numbers, big data, facts, and the absolute reality of information.",عَرَضَ الأَرْقَامَ بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ المَعْلُومَاتِيَّةِ.,He displayed the numbers for the purpose of statistical and informational winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالحَقَائِقِ الرَّقَمِيَّةِ, لِلْعَالَمِ البَيَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
880,بِغَرَضِ الاِسْتِمَالَةِ الجِيُوبُولِيتِيكِيَّةِ الاِسْتِرَاتِيجِيَّةِ,بغرض الاستمالة الجيوبوليتيكية الاستراتيجية,for the purpose of geo-political and strategic winning over / power-appeal,à des fins de séduction géopolitique et stratégique / d'attrait de puissance,جیو پولیٹیکل اور تزویراتی (سٹراٹیجک) لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of maps, borders, global influence, and the absolute reality of strategic gain.",عَقَدَ الصَّفْقَةَ بِغَرَضِ الاِسْتِمَالَةِ الجِيُوبُولِيتِيكِيَّةِ الاِسْتِرَاتِيجِيَّةِ.,He made the deal for the purpose of geo-political and strategic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِخَرِيطَةِ القُوَّةِ, لِلْعَالَمِ الدَّوْلِيِّ القَوِيِّ",4,0.500,الاستمالة|الجيوبوليتيكية,6,0.667,الاستمالة|الجيوبوليتيكية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
886,فِي حَالِ طَلَبِ التَّوْضِيحِ السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ العَمِيقِ,في حال طلب التوضيح السوسيولوجي الإيكولوجي العميق,in case deep sociological and ecological clarification is requested,en cas de demande de clarification sociologique et écologique profonde,گہری عمرانیاتی اور ایکولوجیکل وضاحت طلب ہونے کی صورت میں,(Extreme pedagogical depth). Conditional phrase for when a leader or a scientist needs to know the most hidden reasons for how human groups and the balance of nature work together.,اِشْرَحِ القَرْيَةَ فِي حَالِ طَلَبِ التَّوْضِيحِ السُّوسِيُولُوجِيِّ الإِيكُولُوجِيِّ العَمِيقِ.,Explain the village in case deep sociological and ecological clarification is requested.,— (multiword expression; no single lexical root),"إِذَا سَأَلُوا عَنْ خَفَايَا الشُّعُوبِ وَالبِيئَةِ, لِلشَّرْحِ الاِجْتِمَاعِيِّ البِيئِيِّ العِلْمِيِّ الأَعْظَمِ",7,0.714,السوسيولوجي|الإيكولوجي,9,0.778,السوسيولوجي|الإيكولوجي,low_calima_front_coverage,explicit_review_required
887,بِغَرَضِ الاِسْتِمَالَةِ الفَلَسَفِيَّةِ الكَوْنِيَّةِ,بغرض الاستمالة الفلسفية الكونية,for the purpose of philosophical and cosmic winning over / truth-appeal,à des fins de séduction philosophique et cosmique / d'attrait de vérité,فلسفیانہ اور آفاقی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of logic, the meaning of existence, the stars, and the absolute reality of the universe.",كَتَبَ المَقَالَ بِغَرَضِ الاِسْتِمَالَةِ الفَلَسَفِيَّةِ الكَوْنِيَّةِ.,He wrote the article for the purpose of philosophical and cosmic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِحَقَائِقِ الخَلْقِ, لِلْعَالَمِ الأَبَدِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
894,بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ البِيئِيَّةِ,بغرض الاستمالة المناخية البيئية,for the purpose of climatic and environmental winning over / weather-appeal,à des fins de séduction climatique et environnementale / d'attrait météo,ماحولیاتی اور ایکولوجیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of the sky, the rain, the clouds, and the absolute reality of the climate.",زَرَعَ الغَابَةَ بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ البِيئِيَّةِ.,He planted the forest for the purpose of climatic and environmental winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِسِحْرِ الجَوِّ, لِلْعَالَمِ السَّمَاوِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
900,بِغَرَضِ الاِسْتِمَالَةِ التِّكْنُولُوجِيَّةِ الإِحْصَائِيَّةِ,بغرض الاستمالة التكنولوجية الإحصائية,for the purpose of technological and statistical winning over / machine-data-appeal,à des fins de séduction technologique et statistique / d'attrait machine-données,ٹیکنالوجیکل اور شماریاتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of code, automation, big data, and the absolute reality of machines.",صَمَّمَ التَّطْبِيقَ بِغَرَضِ الاِسْتِمَالَةِ التِّكْنُولُوجِيَّةِ الإِحْصَائِيَّةِ.,He designed the app for the purpose of technological and statistical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِالأَرْقَامِ الآلِيَّةِ, لِلْعَالَمِ الرَّقْمِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
919,بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ الجِيُوفِيزْيَائِيَّةِ,بغرض الاستمالة الفيزيائية الجيوفيزيائية,for the purpose of physical and geo-physical winning over / matter-earth-appeal,à des fins de séduction physique et géophysique / d'attrait matière-terre,مادی (فزیکل) اور جیو فزیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of physical atoms, gravity-wells, tectonic energy, and the absolute reality of the planet.",بَنَى السَّدَّ بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ الجِيُوفِيزْيَائِيَّةِ.,He built the dam for the purpose of physical and geo-physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِأَسْرَارِ المَادَّةِ, لِلْعَالَمِ الجُسْمَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
921,مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ السُّوسِيُولُوجِيَّةِ الإِيكُولُوجِيَّةِ العَمِيقَةِ لِلْغَايَةِ,من قبيل المصلحة الاستراتيجية السوسيولوجية الإيكولوجية العميقة للغاية,for the sake of extremely deep sociological ecological strategic interest,par intérêt stratégique sociologique écologique extrêmement profond,انتہائی گہری عمرانیاتی اور ایکولوجیکل تزویراتی (سٹراٹیجک) مفاد کی خاطر,Phrase used to justify actions (like relocating entire tribes or redefining forest-laws) as being vital for the nation's power through life-balance wisdom.,رَحَّلْنَا القَرْيَةَ مِنْ قُبَيْلِ المَصْلَحَةِ الاِسْتِرَاتِيجِيَّةِ السُّوسِيُولُوجِيَّةِ الإِيكُولُوجِيَّةِ العَمِيقَةِ لِلْغَايَةِ.,We relocated the village for the sake of extremely deep sociological ecological strategic interest.,— (multiword expression; no single lexical root),"لِلْبَقَاءِ فِي تَقَدُّمِ الشُّعُوبِ, أَمْرٌ حَضَارِيٌّ حَيَوِيٌّ الأَعْظَمُ الأَقْصَى",8,0.750,السوسيولوجية|الإيكولوجية,10,0.800,السوسيولوجية|الإيكولوجية,low_calima_front_coverage,explicit_review_required
929,بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ الجِيُوفِيزْيَائِيَّةِ,بغرض الاستمالة المناخية الجيوفيزيائية,for the purpose of climatic and geo-physical winning over / air-earth-appeal,à des fins de séduction climatique et géophysique / d'attrait air-terre,ماحولیاتی اور جیو فزیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of air-patterns, rain-cycles, tectonic shifts, and the absolute reality of the atmosphere.",وَجَّهَ السَّحَابَ بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ الجِيُوفِيزْيَائِيَّةِ.,He directed the clouds for the purpose of climatic and geo-physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِأَسْرَارِ السَّمَاءِ, لِلْعَالَمِ الجَوِّيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
941,بِغَرَضِ الاِسْتِمَالَةِ البِيُولُوجِيَّةِ السُّوسِيُولُوجِيَّةِ,بغرض الاستمالة البيولوجية السوسيولوجية,for the purpose of biological and sociological winning over / life-group-appeal,à des fins de séduction biologique et sociologique / d'attrait vie-groupe,حیاتیاتی اور عمرانیاتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of DNA, ancestors, tribes, and the absolute reality of human life-balance.",صَمَّمَ المَدِينَةَ بِغَرَضِ الاِسْتِمَالَةِ البِيُولُوجِيَّةِ السُّوسِيُولُوجِيَّةِ.,He designed the city for the purpose of biological and sociological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ البَشَرِ, لِلْعَالَمِ النَّسْلِيِّ القَوِيِّ",4,0.500,الاستمالة|السوسيولوجية,6,0.667,الاستمالة|السوسيولوجية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
953,بِغَرَضِ الاِسْتِمَالَةِ الفَلَسَفِيَّةِ المَنَاخِيَّةِ,بغرض الاستمالة الفلسفية المناخية,for the purpose of philosophical and climatic winning over / truth-weather-appeal,à des fins de séduction philosophique et climatique / d'attrait vérité-météo,فلسفیانہ اور ماحولیاتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of logic, truth, rain-patterns, and the absolute reality of the atmosphere.",زَرَعَ الغَابَةَ بِغَرَضِ الاِسْتِمَالَةِ الفَلَسَفِيَّةِ المَنَاخِيَّةِ.,He planted the forest for the purpose of philosophical and climatic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ العَقْلِ وَالسَّمَاءِ, لِلْعَالَمِ الأَزَلِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
956,مِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ البِيُولُوجِيِّ السُّوسِيُولُوجِيِّ,من الصعب تفادي الوقوع في هذا الشراك البيولوجي السوسيولوجي,hard to avoid falling into this biological sociological web / life-group trap,difficile d'éviter de tomber dans ce tissu de pièges biologiques sociologiques,اس حیاتیاتی عمرانیاتی جال (جینیاتی معاشرتی شکنجے) میں گرنے سے بچنا مشکل ہو,"Phrase used when a tribe or a whole species is caught in a DNA-social loop, a genetic habit, or a biological group trend that they cannot escape from no matter how much they change.",ضَاعَ النَّسْلُ وَمِنَ الصَّعْبِ تَفَادِي الوُقُوعِ فِي هَذَا الشَّرَاكِ البِيُولُوجِيِّ السُّوسِيُولُوجِيِّ.,Offspring was lost and it was hard to avoid falling into this biological sociological web.,— (multiword expression; no single lexical root),"خَطَرٌ جِينِيٌّ اِجْتِمَاعِيٌّ شَامِلٌ, فَخٌّ بَشَرِيٌّ لا مَفَرَّ مِنْهُ",9,0.778,الشراك|السوسيولوجي,11,0.818,الشراك|السوسيولوجي,low_calima_front_coverage,explicit_review_required
962,بِغَرَضِ الاِسْتِمَالَةِ المَعْلُومَاتِيَّةِ الجِيُوفِيزْيَائِيَّةِ,بغرض الاستمالة المعلوماتية الجيوفيزيائية,for the purpose of informational and geo-physical winning over / data-earth-appeal,à des fins de séduction informationnelle et géophysique / d'attrait données-matière,معلوماتی اور جیو فزیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of libraries, data-structures, rocks, and the absolute reality of planetary matter.",مَسَحَ الأَرْضَ بِغَرَضِ الاِسْتِمَالَةِ المَعْلُومَاتِيَّةِ الجِيُوفِيزْيَائِيَّةِ.,He scanned the earth for the purpose of informational and geo-physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ الخَبَرِ وَالمَادَّةِ, لِلْعَالَمِ البَيَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
970,بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ التِّكْنُولُوجِيَّةِ,بغرض الاستمالة الفيزيائية التكنولوجية,for the purpose of physical and technological winning over / matter-machine-appeal,à des fins de séduction physique et technologique / d'attrait matière-machine,مادی اور ٹیکنالوجیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of atoms, materials, code, robotics, and the absolute reality of machine-matter.",صَنَعَ الدِّرْعَ بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ التِّكْنُولُوجِيَّةِ.,He made the shield for the purpose of physical and technological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ المَادَّةِ وَالآلَةِ, لِلْعَالَمِ الجُسْمَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
978,بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ الفَلَسَفِيَّةِ,بغرض الاستمالة المناخية الفلسفية,for the purpose of climatic and philosophical winning over / weather-truth-appeal,à des fins de séduction climatique et philosophique / d'attrait météo-vérité,ماحولیاتی اور فلسفیانہ لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of rain-patterns, air-logic, meaning, and the absolute reality of the atmosphere.",وَجَّهَ الرِّيحَ بِغَرَضِ الاِسْتِمَالَةِ المَنَاخِيَّةِ الفَلَسَفِيَّةِ.,He directed the wind for the purpose of climatic and philosophical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ السَّمَاءِ وَالعَقْلِ, لِلْعَالَمِ الجَوِّيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
986,بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ المَنَاخِيَّةِ,بغرض الاستمالة الإحصائية المناخية,for the purpose of statistical and climatic winning over / data-weather-appeal,à des fins de séduction statistique et climatique / d'attrait données-météo,شماریاتی اور ماحولیاتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of numbers, data-trends, rain-patterns, and the absolute reality of the atmosphere.",رَصَدَ الغَيْمَ بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ المَنَاخِيَّةِ.,He observed the cloud for the purpose of statistical and climatic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ الرَّقْمِ وَالسَّمَاءِ, لِلْعَالَمِ العَدَدِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
993,بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ الفَلَسَفِيَّةِ,بغرض الاستمالة السوسيولوجية الفلسفية,for the purpose of sociological and philosophical winning over / group-truth-appeal,à des fins de séduction sociologique et philosophique / d'attrait groupe-vérité,عمرانیاتی اور فلسفیانہ لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of tribes, human groups, meaning, and the absolute reality of human logic.",صَاغَ الفِكْرَ بِغَرَضِ الاِسْتِمَالَةِ السُّوسِيُولُوجِيَّةِ الفَلَسَفِيَّةِ.,He shaped the thought for the purpose of sociological and philosophical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ البَشَرِ وَالعَقْلِ, لِلْعَالَمِ الاِجْتِمَاعِيِّ القَوِيِّ",4,0.500,الاستمالة|السوسيولوجية,6,0.667,الاستمالة|السوسيولوجية,low_calima_front_coverage|low_calima_example_coverage,explicit_review_required
1004,بِغَرَضِ الاِسْتِمَالَةِ المَعْلُومَاتِيَّةِ الفَلَسَفِيَّةِ,بغرض الاستمالة المعلوماتية الفلسفية,for the purpose of informational and philosophical winning over / data-truth-appeal,à des fins de séduction informationnelle et philosophique / d'attrait données-vérité,معلوماتی اور فلسفیانہ لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of books, data, libraries, meaning, and the absolute reality of human logic.",دَوَّنَ القَوْلَ بِغَرَضِ الاِسْتِمَالَةِ المَعْلُومَاتِيَّةِ الفَلَسَفِيَّةِ.,He recorded the speech for the purpose of informational and philosophical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ الخَبَرِ وَالعَقْلِ, لِلْعَالَمِ البَيَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
1009,بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ المَنَاخِيَّةِ,بغرض الاستمالة الفيزيائية المناخية,for the purpose of physical and climatic winning over / matter-weather-appeal,à des fins de séduction physique et climatique / d'attrait matière-météo,مادی اور ماحولیاتی لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of atoms, rain-patterns, materials, and the absolute reality of matter-weather logic.",هَيَّأَ الجَوَّ بِغَرَضِ الاِسْتِمَالَةِ الفِيزْيَائِيَّةِ المَنَاخِيَّةِ.,He prepared the atmosphere for the purpose of physical and climatic winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ المَادَّةِ وَالسَّمَاءِ, لِلْعَالَمِ الجُسْمَانِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
1014,بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ الجِيُوفِيزْيَائِيَّةِ,بغرض الاستمالة الإحصائية الجيوفيزيائية,for the purpose of statistical and geo-physical winning over / number-matter-appeal,à des fins de séduction statistique et géophysique / d'attrait nombre-matière,شماریاتی اور جیو فزیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of numbers, data, rocks, materials, and the absolute reality of numerical-matter logic.",مَسَحَ الأَرْضَ بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ الجِيُوفِيزْيَائِيَّةِ.,He surveyed the earth for the purpose of statistical and geo-physical winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ الرَّقْمِ وَالمَادَّةِ, لِلْعَالَمِ العَدَدِيِّ المَادِّيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
1025,بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ التِّكْنُولُوجِيَّةِ,بغرض الاستمالة الإحصائية التكنولوجية,for the purpose of statistical and technological winning over / number-machine-appeal,à des fins de séduction statistique et technologique / d'attrait nombre-machine,شماریاتی اور ٹیکنالوجیکل لحاظ سے مائل کرنے کی غرض سے,"Phrase used when an action is taken to convince someone by using the power of numbers, data, code, machines, and the absolute reality of numerical-machine logic.",صَنَعَ الحَاسُوبَ بِغَرَضِ الاِسْتِمَالَةِ الإِحْصَائِيَّةِ التِّكْنُولُوجِيَّةِ.,He made the computer for the purpose of statistical and technological winning over.,— (multiword expression; no single lexical root),"لِجَذْبِ النُّفُوسِ بِرُوحِ الرَّقْمِ وَالآلَةِ, لِلْعَالَمِ الرَّقَمِيِّ التِّكْنِيِّ القَوِيِّ",4,0.750,الاستمالة,6,0.833,الاستمالة,low_calima_front_coverage,explicit_review_required
