rank,front,normalized_front,en,fr,ur,definition_en,example_ar,example_en,root,related,front_token_count,front_calima_coverage,front_unanalyzed_tokens,example_token_count,example_calima_coverage,example_unanalyzed_tokens,flags,status
228,عَلَى مَدَى الحَيَاةِ الزَّوْجِيَّةِ,على مدى الحياة الزوجية,over the course of married life,au cours de la vie conjugale,ازدواجی زندگی کے دوران,Temporal phrase describing events or changes that happen during the duration of a marriage.,تَعَاوَنَا عَلَى مَدَى الحَيَاةِ الزَّوْجِيَّةِ.,They cooperated over the course of married life.,— (multiword expression; no single lexical root),"طِوَالَ الزَّوَاجِ, فِي العَلاقَةِ",4,1.000,,5,1.000,,,structurally_verified
229,فِي المَقَامِ الحَادِي عَشَرَ,في المقام الحادي عشر,in the eleventh place / eleventhly,en onzième lieu / onzièmement,گیارہویں نمبر پر,Phrase used to introduce the eleventh item in an ordered list of points or reasons.,وَفِي المَقَامِ الحَادِي عَشَرَ، المَكَانُ.,"And eleventhly, the place.",— (multiword expression; no single lexical root),"حَادِي عَشَرَ, بَعْدَ ذَلِكَ",4,1.000,,5,1.000,,,structurally_verified
230,بِمَا لَا يَدَعُ مَجَالاً لِلنِّسْيَانِ,بما لا يدع مجالا للنسيان,unforgettable / leaving no room for forgetting,inoubliable / ne laissant aucune place à l'oubli,جسے کبھی فراموش نہ کیا جا سکے,"Phrase used to describe an event, person, or lesson so impactful that it remains permanently in the memory.",كَانَتْ ذِكْرَى بِمَا لَا يَدَعُ مَجَالاً لِلنِّسْيَانِ.,It was an unforgettable memory.,— (multiword expression; no single lexical root),"خَالِدٌ, لَا يُنْسَى",5,1.000,,7,1.000,,,structurally_verified
231,مِنْ لَحْظَتِهَا,من لحظتها,from that moment / instantly,dès cet instant / instantanément,اسی لمحے سے / فوراً,Temporal phrase indicating that an action started immediately after a specific event.,تَغَيَّرَ كُلُّ شَيْءٍ مِنْ لَحْظَتِهَا.,Everything changed from that moment.,— (multiword expression; no single lexical root),"فَوْرًا, مُنْذُ تِلْكَ اللَّحْظَةِ",2,1.000,,5,1.000,,,structurally_verified
232,مِنَ الصَّعْبِ تَحْدِيدُهُ,من الصعب تحديده,hard to define / difficult to specify,difficile à définir / difficile à préciser,جس کی وضاحت / تعین کرنا مشکل ہو,"Phrase used to describe a concept, a quantity, or a location that is vague or hard to pinpoint exactly.",مَكَانُ الحَادِثِ مِنَ الصَّعْبِ تَحْدِيدُهُ.,The location of the accident is hard to specify.,— (multiword expression; no single lexical root),"غَامِضٌ, غَيْرُ مُحَدَّدٍ",3,1.000,,5,1.000,,,structurally_verified
233,عَلَى نِطَاقٍ مِهَنِيٍّ,على نطاق مهني,on a professional scale / professionally,sur le plan professionnel / professionnellement,پیشہ ورانہ سطح پر,Phrase describing actions or standards that apply within a work environment or career field.,نَعْمَلُ مَعًا عَلَى نِطَاقٍ مِهَنِيٍّ.,We work together on a professional scale.,— (multiword expression; no single lexical root),"عَمَلِيًّا, مِهَنِيًّا",3,1.000,,5,1.000,,,structurally_verified
234,فِي هَذِهِ الأَزْمَةِ,في هذه الأزمة,in this crisis / during this emergency,dans cette crise / pendant cette urgence,اس بحران میں / اس ہنگامی صورتحال میں,Phrase focusing on the critical and dangerous nature of the current time period.,يَجِبُ التَّعَاوُنُ فِي هَذِهِ الأَزْمَةِ.,Cooperation is necessary in this crisis.,— (multiword expression; no single lexical root),"الآنَ, فِي هَذَا الوَقْتِ الصَّعْبِ",3,1.000,,5,1.000,,,structurally_verified
235,بِدُونِ مُنَازِعٍ,بدون منازع,undisputed / without a rival / unrivaled,sans conteste / sans rival / incontesté,بلا مقابلہ / جس کا کوئی حریف نہ ہو,"Phrase used to describe a winner, a leader, or a truth that is so superior that no one can challenge it.",هُوَ البَطَلُ بِدُونِ مُنَازِعٍ.,He is the undisputed champion.,— (multiword expression; no single lexical root),"الأَفْضَلُ تَمَامًا, وَحِيدٌ",2,1.000,,4,1.000,,,structurally_verified
236,مِنْ نَاحِيَةٍ قَانُونِيَّةٍ,من ناحية قانونية,legally / from a legal perspective,juridiquement / d'un point de vue légal,قانونی لحاظ سے,"Phrase narrowing the discussion to the laws, regulations, and judicial implications of a matter.",الأَمْرُ مَقْبُولٌ مِنْ نَاحِيَةٍ قَانُونِيَّةٍ.,The matter is acceptable from a legal perspective.,— (multiword expression; no single lexical root),"قَانُونِيًّا, شَرْعِيًّا",3,1.000,,5,1.000,,,structurally_verified
237,فِي المَدَى المَنْظُورِ القَرِيبِ جِدًّا,في المدى المنظور القريب جدا,in the very immediate future,dans un avenir très immédiat,انتہائی قریب ترین مستقبل میں,(Triple emphatic). Refers to something happening in the next few moments or hours.,سَنَنْطَلِقُ فِي المَدَى المَنْظُورِ القَرِيبِ جِدًّا.,We will set off in the very immediate future.,— (multiword expression; no single lexical root),"الآنَ, فَوْرًا",5,1.000,,6,1.000,,,structurally_verified
238,بِغَضِّ النَّظَرِ عَنِ المَنْصِبِ,بغض النظر عن المنصب,regardless of position / regardless of rank,quel que soit le poste / sans distinction de grade,عہدے سے قطع نظر,Phrase asserting that a rule or treatment applies to everyone no matter their job title or authority level.,القَانُونُ يُطَبَّقُ بِغَضِّ النَّظَرِ عَنِ المَنْصِبِ.,The law is applied regardless of position.,— (multiword expression; no single lexical root),"لِلْجَمِيعِ, دُونَ اعْتِبَارٍ لِلرُّتْبَةِ",4,1.000,,6,1.000,,,structurally_verified
239,عَلَى نَحْوٍ مُفَاجِئٍ,على نحو مفاجئ,suddenly / unexpectedly,soudainement / de manière inattendue,اچانک / ناگہانی طور پر,Adverbial phrase describing an event that happens without prior warning or preparation.,تَوَقَّفَ القِطَارُ عَلَى نَحْوٍ مُفَاجِئٍ.,The train stopped suddenly.,— (multiword expression; no single lexical root),"بَغْتَةً, فَجْأَةً",3,1.000,,5,1.000,,,structurally_verified
240,بِمَحْضِ تَقْدِيرِ السُّلُطَاتِ,بمحض تقدير السلطات,at the sole discretion of the authorities,à la seule discrétion des autorités,حکام کی اپنی صوابدید پر,Formal phrase indicating that a decision lies entirely with the government or official bodies.,المَنْعُ بِمَحْضِ تَقْدِيرِ السُّلُطَاتِ.,The ban is at the sole discretion of the authorities.,— (multiword expression; no single lexical root),"حَسْبَ رُؤْيَةِ الحُكُومَةِ, لِلْمَسْؤُولِينَ",3,1.000,,4,1.000,,,structurally_verified
241,فِي حَالِ وُقُوعِ ضَرَرٍ,في حال وقوع ضرر,in the event of damage / if harm occurs,en cas de dommage / si un préjudice survient,نقصان ہونے کی صورت میں,Conditional phrase providing instructions or insurance for when physical or financial harm happens.,سَنُعَوِّضُكَ فِي حَالِ وُقُوعِ ضَرَرٍ.,We will compensate you in the event of damage.,— (multiword expression; no single lexical root),"إِذَا تَأَذَّيْنَا, عِنْدَ الخَسَارَةِ",4,1.000,,5,1.000,,,structurally_verified
242,عَلَى مَدَى أَيَّامٍ مُتَتَالِيَةٍ,على مدى أيام متتالية,over consecutive days,pendant plusieurs jours consécutifs,مسلسل کئی دنوں تک,Temporal phrase used to describe an action that repeats or continues without a break for several days.,اِسْتَمَرَّ المَطَرُ عَلَى مَدَى أَيَّامٍ مُتَتَالِيَةٍ.,Rain continued over consecutive days.,— (multiword expression; no single lexical root),"طِوَالَ الأَيَّامِ, دُونَ اِنْقِطَاعٍ",4,1.000,,6,1.000,,,structurally_verified
243,بِغَرَضِ التَّحَرِّي,بغرض التحري,for the purpose of investigation / to investigate,à des fins d'enquête / pour enquêter,تفتیش کی غرض سے,Phrase used when an action is taken to search for truth or gather evidence in a formal/legal sense.,زُرْنَا المَكَانَ بِغَرَضِ التَّحَرِّي.,We visited the place for the purpose of investigation.,— (multiword expression; no single lexical root),"لِلْبَحْثِ, لِلتَّدْقِيقِ",2,1.000,,4,1.000,,,structurally_verified
244,فِي المَقَامِ الثَّانِي عَشَرَ,في المقام الثاني عشر,in the twelfth place / twelfthly,en douzième lieu / douzièmement,بارہویں نمبر پر,Phrase used to introduce the twelfth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّانِي عَشَرَ، المَوَادُّ.,"And twelfthly, the materials.",— (multiword expression; no single lexical root),"ثَانِي عَشَرَ, بَعْدَ ذَلِكَ",4,1.000,,5,1.000,,,structurally_verified
245,بِمَا لَا يَدَعُ مَجَالاً لِلشَّكْوَى,بما لا يدع مجالا للشكوى,perfect / leaving no room for complaint,irréprochable / sans aucune raison de se plaindre,جس میں شکایت کی کوئی گنجائش نہ ہو,"Phrase used to describe a service, product, or action that is of such high quality that no one can find a fault.",كَانَتِ الخِدْمَةُ بِمَا لَا يَدَعُ مَجَالاً لِلشَّكْوَى.,The service was perfect (leaving no room for complaint).,— (multiword expression; no single lexical root),"مِثَالِيٌّ, مُمْتَازٌ",5,1.000,,7,1.000,,,structurally_verified
246,مِنْ قُبَيْلِ,من قبيل,such as / like / in the nature of,tel que / de la nature de,کی طرح / کی قسم کا,Phrase used to categorize an action or statement under a specific type or class.,هَذَا العَمَلُ مِنْ قُبَيْلِ المُزَاحِ.,This act is in the nature of a joke.,— (multiword expression; no single lexical root),"مِثْلَ, كَمَا هُوَ الحَالُ مَعَ",2,1.000,,5,1.000,,,structurally_verified
247,مِنَ الصَّعْبِ تَبْرِيرُهُ,من الصعب تبريره,hard to justify / inexcusable,difficile à justifier / injustifiable,جس کا جواز پیش کرنا مشکل ہو,"Phrase used to describe an action, decision, or mistake that lacks a logical or ethical reason.",هَذَا العُنْفُ مِنَ الصَّعْبِ تَبْرِيرُهُ.,This violence is hard to justify.,— (multiword expression; no single lexical root),"غَيْرُ مَقْبُولٍ, بِلَا عُذْرٍ",3,1.000,,5,1.000,,,structurally_verified
248,عَلَى نِطَاقٍ سِيَاحِيٍّ,على نطاق سياحي,on a tourism scale / for tourism purposes,sur le plan touristique / à des fins touristiques,سیاحتی سطح پر / سیاحت کے لیے,"Phrase describing factors, developments, or promotions related to travel and visitors.",المَدِينَةُ تَتَطَوَّرُ عَلَى نِطَاقٍ سِيَاحِيٍّ.,The city is developing on a tourism scale.,— (multiword expression; no single lexical root),"لِلسُّيَّاحِ, جَذَّابٌ",3,1.000,,5,1.000,,,structurally_verified
249,فِي هَذَا الظَّرْفِ الاسْتِثْنَائِيِّ,في هذا الظرف الاستثنائي,in this exceptional circumstance / in this unique situation,dans cette circonstance exceptionnelle,اس غیر معمولی صورتحال میں,"Phrase used to describe a situation that is rare, unique, and requires special rules or handling.",نَعْمَلُ بِجِدٍّ فِي هَذَا الظَّرْفِ الاسْتِثْنَائِيِّ.,We work hard in this exceptional circumstance.,— (multiword expression; no single lexical root),"الآنَ, فِي حَالَةٍ نَادِرَةٍ",4,1.000,,6,1.000,,,structurally_verified
250,بِدُونِ تَفَاصِيلَ,بدون تفاصيل,without details / briefly,sans détails / brièvement,تفصیلات کے بغیر / مختصر طور پر,Phrase used when a summary is given without going into the specific points or data.,أَخْبِرْنِي بِالقِصَّةِ بِدُونِ تَفَاصِيلَ.,Tell me the story without details.,— (multiword expression; no single lexical root),"بِاخْتِصَارٍ, مُوجَزٌ",2,1.000,,4,1.000,,,structurally_verified
251,فِي المَدَى المَنْظُورِ المُتَوَقَّعِ,في المدى المنظور المتوقع,in the expected foreseeable future,dans un avenir prévisible et attendu,متوقع قابلِ پیش گوئی مستقبل میں,Phrase referring to the time period that is both predictable and specifically anticipated by stakeholders.,سَنَرَى النَّجَاحَ فِي المَدَى المَنْظُورِ المُتَوَقَّعِ.,We will see success in the expected foreseeable future.,— (multiword expression; no single lexical root),"قَرِيبًا, كَمَا نَتَوَقَّعُ",4,1.000,,6,1.000,,,structurally_verified
252,بِغَضِّ النَّظَرِ عَنِ المَاضِي,بغض النظر عن الماضي,regardless of the past,quel que soit le passé / sans tenir compte du passé,ماضی سے قطع نظر,Phrase asserting that a current decision or relationship should not be influenced by previous events or mistakes.,سَنَبْدَأُ مِنْ جَدِيدٍ بِغَضِّ النَّظَرِ عَنِ المَاضِي.,We will start anew regardless of the past.,— (multiword expression; no single lexical root),"الآنَ, دُونَ اعْتِبَارٍ لِمَا حَدَثَ",4,1.000,,7,1.000,,,structurally_verified
253,بِمَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ,بمحض تقديرك الشخصي,at your own personal discretion,à votre seule discrétion personnelle,آپ کی اپنی ذاتی صوابدید پر,Phrase emphasizing that the decision rests entirely with the individual's own judgment and feelings.,الأَمْرُ يَعُودُ لِبَحْضِ تَقْدِيرِكَ الشَّخْصِيِّ.,The matter is at your own personal discretion.,— (multiword expression; no single lexical root),"كَمَا تَرَاهُ أَنْتَ, بِرَأْيِكَ",3,1.000,,5,0.800,لبحض,,structurally_verified
254,فِي حَالِ طُلِبَ مِنْكَ ذَلِكَ,في حال طلب منك ذلك,if you are asked to do so,si on vous le demande,اگر آپ سے ایسا کرنے کو کہا جائے,Conditional phrase providing instructions for an action that depends on a future request or command.,اِفْعَلْهُ فَقَطْ فِي حَالِ طُلِبَ مِنْكَ ذَلِكَ.,Do it only if you are asked to do so.,— (multiword expression; no single lexical root),"إِذَا أُمِرْتَ, عِنْدَ الطَّلَبِ",5,1.000,,7,1.000,,,structurally_verified
255,عَلَى مَدَى أَسَابِيعَ قَلِيلَةٍ,على مدى أسابيع قليلة,over a few weeks,sur quelques semaines,چند ہفتوں کے دوران,Temporal phrase used to describe a process or period that lasts for a short number of seven-day intervals.,سَيَنْتَهِي العَمَلُ عَلَى مَدَى أَسَابِيعَ قَلِيلَةٍ.,The work will finish over a few weeks.,— (multiword expression; no single lexical root),"خِلَالَ أَسَابِيعَ, قَرِيبًا",4,1.000,,6,1.000,,,structurally_verified
256,بِغَرَضِ التَّأَكُّدِ,بغرض التأكد,for the purpose of making sure / to confirm,dans le but de s'assurer / pour confirmer,یقین دہانی کی غرض سے / تصدیق کے لیے,Phrase used when an action is taken to verify a fact or ensure that a condition is met.,اِتَّصَلْتُ بِغَرَضِ التَّأَكُّدِ.,I called for the purpose of making sure.,— (multiword expression; no single lexical root),"لِلتَّحَقُّقِ, لِلتَّأْكِيدِ",2,1.000,,3,1.000,,,structurally_verified
257,فِي المَقَامِ الثَّالِثِ عَشَرَ,في المقام الثالث عشر,in the thirteenth place / thirteenthly,en treizième lieu / treizièmement,تیرہویں نمبر پر,Phrase used to introduce the thirteenth item in an ordered list of points or reasons.,وَفِي المَقَامِ الثَّالِثِ عَشَرَ، الأَمْنُ.,"And thirteenthly, security.",— (multiword expression; no single lexical root),"ثَالِثَ عَشَرَ, بَعْدَ ذَلِكَ",4,1.000,,5,1.000,,,structurally_verified
258,بِمَا لَا يَدَعُ مَجَالاً لِلخَسَارَةِ,بما لا يدع مجالا للخسارة,foolproof / zero-risk / leaving no room for loss,sans aucun risque de perte / infaillible,جس میں نقصان کی کوئی گنجائش نہ ہو,Phrase used to describe a plan or investment so secure that failure or financial loss is considered impossible.,صَمَّمْنَا الخُطَّةَ بِمَا لَا يَدَعُ مَجَالاً لِلخَسَارَةِ.,We designed the plan leaving no room for loss.,— (multiword expression; no single lexical root),"مَضْمُونٌ, رَابِحٌ تَمَامًا",5,1.000,,7,1.000,,,structurally_verified
259,مِنْ قُبَيْلِ المِصَادَفَةِ,من قبيل المصادفة,by way of coincidence / coincidentally,par coïncidence / par hasard,محض اتفاقاً / اتفاقیہ طور پر,Phrase used to categorize an event as being unplanned or accidental.,حَدَثَ ذَلِكَ مِنْ قُبَيْلِ المِصَادَفَةِ.,That happened by way of coincidence.,— (multiword expression; no single lexical root),"صُدْفَةً, دُونَ قَصْدٍ",3,1.000,,5,1.000,,,structurally_verified
260,مِنَ الصَّعْبِ نَقْدُهُ,من الصعب نقده,hard to criticize / beyond reproach,difficile à critiquer / irréprochable,جس پر تنقید کرنا مشکل ہو,"Phrase used to describe a piece of work, an argument, or a person so solid or perfect that finding faults is difficult.",هَذَا المَقَالُ مِنَ الصَّعْبِ نَقْدُهُ.,This article is hard to criticize.,— (multiword expression; no single lexical root),"مِثَالِيٌّ, قَوِيٌّ جِدًّا",3,1.000,,5,1.000,,,structurally_verified
261,عَلَى نِطَاقٍ تِكْنُولُوجِيٍّ,على نطاق تكنولوجي,on a technological scale / technologically,sur le plan technologique / au niveau technologique,تکنیکی سطح پر / ٹیکنالوجی کے لحاظ سے,"Phrase describing factors, developments, or infrastructure related to digital and mechanical advancement.",التَّغْيِيرُ سَرِيعٌ عَلَى نِطَاقٍ تِكْنُولُوجِيٍّ.,Change is fast on a technological scale.,— (multiword expression; no single lexical root),"تَقْنِيًّا, حَدِيثًا",3,1.000,,5,1.000,,,structurally_verified
262,فِي هَذِهِ الظُّرُوفِ القَاسِيَةِ,في هذه الظروف القاسية,in these harsh conditions / in this severe situation,dans ces conditions difficiles / dans ces circonstances rudes,ان سخت حالات میں,Phrase used to describe living or working in environments that are physically or emotionally extremely demanding.,هُمْ يَعِيشُونَ فِي هَذِهِ الظُّرُوفِ القَاسِيَةِ.,They live in these harsh conditions.,— (multiword expression; no single lexical root),"الآنَ, فِي هَذَا الوَقْتِ الصَّعْبِ",4,1.000,,6,1.000,,,structurally_verified
263,بِدُونِ قَيْدٍ أَوْ شَرْطٍ,بدون قيد أو شرط,unconditionally / without strings attached,sans condition / inconditionnellement,بلا قید و شرط,"Idiomatic phrase used when an agreement, support, or surrender is made without asking for anything in return.",نُحِبُّكَ بِدُونِ قَيْدٍ أَوْ شَرْطٍ.,We love you unconditionally.,— (multiword expression; no single lexical root),"تَمَامًا, مُطْلَقًا",4,1.000,,5,1.000,,,structurally_verified
264,مِنْ نَاحِيَةٍ جَمَالِيَّةٍ,من ناحية جمالية,aesthetically / from an aesthetic point of view,esthétiquement / d'un point de vue esthétique,جمالیاتی لحاظ سے,"Phrase narrowing the discussion to the beauty, style, and visual appeal of a matter.",المَبْنَى رَائِعٌ مِنْ نَاحِيَةٍ جَمَالِيَّةٍ.,The building is wonderful from an aesthetic point of view.,— (multiword expression; no single lexical root),"شَكْلِيًّا, فَنِّيًّا",3,1.000,,5,1.000,,,structurally_verified
265,فِي المَدَى المَنْظُورِ البَعِيدِ,في المدى المنظور البعيد,in the long-term foreseeable future,dans un avenir prévisible à long terme,طویل مدتی قابلِ پیش گوئی مستقبل میں,Phrase referring to shifts or events that are predicted to happen many years from now based on current trends.,سَنَرَى التَّأْثِيرَ فِي المَدَى المَنْظُورِ البَعِيدِ.,We will see the impact in the long-term foreseeable future.,— (multiword expression; no single lexical root),"مُسْتَقْبَلًا, بَعْدَ سَنَوَاتٍ طَوِيلَةٍ",4,1.000,,6,1.000,,,structurally_verified
266,عَلَى وَشْكِ الاِنْتِهَاءِ,على وشك الانتهاء,on the verge of finishing / nearly done,sur le point de se terminer / presque fini,ختم ہونے کے قریب,Phrase used to describe an action or project that is in its very last moments before completion.,العَمَلُ عَلَى وَشْكِ الاِنْتِهَاءِ.,The work is on the verge of finishing.,— (multiword expression; no single lexical root),"قَرِيبًا جِدًّا, خَلَاصٌ",3,1.000,,4,1.000,,,structurally_verified
267,بِمَحْضِ تَقْدِيرِ لَجْنَةِ التَّحْكِيمِ,بمحض تقدير لجنة التحكيم,at the sole discretion of the jury / judging panel,à la seule discrétion du jury,منصفین (جیوری) کی اپنی صوابدید پر,Formal phrase indicating that the final decision in a competition or evaluation rests entirely with the appointed judges.,الفَوْزُ بِمَحْضِ تَقْدِيرِ لَجْنَةِ التَّحْكِيمِ.,Winning is at the sole discretion of the jury.,— (multiword expression; no single lexical root),"حَسْبَ رَأْيِ الحُكَّامِ, لِلَّجْنَةِ",4,1.000,,5,1.000,,,structurally_verified
268,فِي حَالِ حُدُوثِ خِلافٍ,في حال حدوث خلاف,in the event of a dispute / if a disagreement occurs,en cas de litige / si un désaccord survient,اختلاف ہونے کی صورت میں,Phrase used in contracts or agreements to provide a resolution path if the parties disagree later.,نَلْجَأُ لِلقَضَاءِ فِي حَالِ حُدُوثِ خِلافٍ.,We resort to the judiciary in the event of a dispute.,— (multiword expression; no single lexical root),"إِذَا اِخْتَلَفْنَا, عِنْدَ النِّزَاعِ",4,1.000,,6,1.000,,,structurally_verified
269,عَلَى مَدَى الحَيَاةِ العَمَلِيَّةِ,على مدى الحياة العملية,over the course of professional life,au cours de la vie professionnelle,عملی / پیشہ ورانہ زندگی کے دوران,Temporal phrase describing the span of a person's career or work experience.,تَعَلَّمَ الكَثِيرَ عَلَى مَدَى الحَيَاةِ العَمَلِيَّةِ.,He learned a lot over the course of professional life.,— (multiword expression; no single lexical root),"طِوَالَ المِهْنَةِ, خِلَالَ العَمَلِ",4,1.000,,6,1.000,,,structurally_verified
270,بِغَرَضِ التَّرْقِيَةِ,بغرض الترقية,for the purpose of promotion / for advancement,dans le but d'une promotion / pour de l'avancement,ترقی (عہدے) کی غرض سے,Phrase used when an action is taken specifically to achieve a higher rank or position in a job.,يَعْمَلُ بِجِدٍّ بِغَرَضِ التَّرْقِيَةِ.,He works hard for the purpose of promotion.,— (multiword expression; no single lexical root),"لِلرُّتْبَةِ الأَعْلَى, لِلتَّقَدُّمِ",2,1.000,,4,1.000,,,structurally_verified
271,فِي المَقَامِ الرَّابِعَ عَشَرَ,في المقام الرابع عشر,in the fourteenth place / fourteenthly,en quatorzième lieu / quatorzièmement,چودہویں نمبر پر,Phrase used to introduce the fourteenth item in an ordered list of points or reasons.,وَفِي المَقَامِ الرَّابِعَ عَشَرَ، التَّوْزِيعُ.,"And fourteenthly, the distribution.",— (multiword expression; no single lexical root),"رَابِعَ عَشَرَ, بَعْدَ ذَلِكَ",4,1.000,,5,1.000,,,structurally_verified
272,بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِيَالِ,بما لا يدع مجالا للاحتيال,secure / tamper-proof / leaving no room for fraud,sécurisé / inviolable / sans faille contre la fraude,جس میں دھوکہ دہی کی کوئی گنجائش نہ ہو,Phrase used to describe a financial or digital system so secure that it prevents any deceptive manipulation.,صَمَّمْنَا النِّظَامَ بِمَا لَا يَدَعُ مَجَالاً لِلاحْتِيَالِ.,We designed the system leaving no room for fraud.,— (multiword expression; no single lexical root),"آمِنٌ جِدًّا, مَحْمِيٌّ",5,1.000,,7,1.000,,,structurally_verified
273,مِنْ قُبَيْلِ الفُضُولِ,من قبيل الفضول,out of curiosity / just to know,par curiosité,محض تجسس کی بنا پر,"Phrase used to categorize an inquiry or action as being motivated only by a desire for knowledge, not for a specific use.",سَأَلْتُ فَقَطْ مِنْ قُبَيْلِ الفُضُولِ.,I asked just out of curiosity.,— (multiword expression; no single lexical root),"لِلمَعْرِفَةِ فَقَطْ, تَجَسُّسًا",3,1.000,,5,1.000,,,structurally_verified
274,مِنَ الصَّعْبِ تَجَاوُزُهُ,من الصعب تجاوزه,hard to overcome / difficult to surpass,difficile à surmonter / difficile à dépasser,جس سے آگے نکلنا / قابو پانا مشکل ہو,Phrase used to describe an obstacle that is extremely resilient or a record that is very hard to beat.,هَذَا الرَّقْمُ القِيَاسِيُّ مِنَ الصَّعْبِ تَجَاوُزُهُ.,This record is hard to surpass.,— (multiword expression; no single lexical root),"قَوِيٌّ, لَا يُقْهَرُ",3,1.000,,6,1.000,,,structurally_verified
275,عَلَى نِطَاقٍ تَعْلِيمِيٍّ بَحْتٍ,على نطاق تعليمي بحت,on a purely educational scale,sur un plan purement éducatif,خالص تعلیمی سطح پر,Phrase narrowing the discussion strictly to learning and teaching without any commercial or political goals.,نُنَاقِشُ المَوْضُوعَ عَلَى نِطَاقٍ تَعْلِيمِيٍّ بَحْتٍ.,We discuss the subject on a purely educational scale.,— (multiword expression; no single lexical root),"لِلدِّرَاسَةِ فَقَطْ, مَدْرَسِيًّا",4,1.000,,6,1.000,,,structurally_verified
276,فِي هَذِهِ المَرْحَلَةِ الحَرِجَةِ,في هذه المرحلة الحرجة,at this critical stage / at this turning point,à ce stade critique / à ce tournant décisif,اس نازک مرحلے پر,Phrase indicating that the current point in time is high-stakes and requires extremely careful decision-making.,نَحْنُ الآنَ فِي هَذِهِ المَرْحَلَةِ الحَرِجَةِ.,We are now at this critical stage.,— (multiword expression; no single lexical root),"مَوْقِفٌ صَعْبٌ, وَقْتٌ هَامٌّ",4,1.000,,6,1.000,,,structurally_verified
277,مِنْ نَاحِيَةٍ تَنْفِيذِيَّةٍ,من ناحية تنفيذية,operationally / from an executive perspective,sur le plan opérationnel / d'un point de vue exécutif,انتظامی لحاظ سے / عملی طور پر,Phrase narrowing the discussion to the actual carrying out of tasks and the management of actions.,الفِكْرَةُ جَاهِزَةٌ مِنْ نَاحِيَةٍ تَنْفِيذِيَّةٍ.,The idea is ready from an executive perspective.,— (multiword expression; no single lexical root),"عَمَلِيًّا, إِدَارِيًّا",3,1.000,,5,1.000,,,structurally_verified
278,فِي المَدَى المَنْظُورِ القَرِيبِ لِلْغَايَةِ,في المدى المنظور القريب للغاية,in the extremely immediate future,"dans un avenir très, très proche",انتہائی قریب ترین مستقبل میں,(Quadruple emphatic). Refers to something happening in the next few seconds or minutes.,سَنَعْرِفُ النَّتِيجَةَ فِي المَدَى المَنْظُورِ القَرِيبِ لِلْغَايَةِ.,We will know the result in the extremely immediate future.,— (multiword expression; no single lexical root),"الآنَ, فَوْرًا جِدًّا",5,1.000,,7,1.000,,,structurally_verified
279,بِغَضِّ النَّظَرِ عَنِ التَّكَالِيفِ المَالِيَّةِ,بغض النظر عن التكاليف المالية,regardless of the financial costs,quel qu'en soit le coût financier,مالی اخراجات سے قطع نظر,Phrase asserting that an action will be taken irrespective of the money required to achieve it.,سَنُكْمِلُ المَشْرُوعَ بِغَضِّ النَّظَرِ عَنِ التَّكَالِيفِ المَالِيَّةِ.,We will complete the project regardless of the financial costs.,— (multiword expression; no single lexical root),"مَهْمَا كَانَ الثَّمَنُ, دُونَ اعْتِبَارٍ لِلْمَالِ",5,1.000,,7,1.000,,,structurally_verified
280,عَلَى نَحْوٍ شَامِلٍ,على نحو شامل,comprehensively / thoroughly / across the board,de manière exhaustive / globalement,جامع طور پر / مکمل طریقے سے,Adverbial phrase describing an action that covers all aspects or parts of a subject without exception.,بَحَثْنَا المَوْضُوعَ عَلَى نَحْوٍ شَامِلٍ.,We researched the subject comprehensively.,— (multiword expression; no single lexical root),"كُلِّيًّا, تَمَامًا",3,1.000,,5,1.000,,,structurally_verified
281,بِمَحْضِ تَقْدِيرِكَ الأَكَادِيمِيِّ,بمحض تقديرك الأكاديمي,at your own academic discretion / based on your scholarly judgment,à votre seule discrétion académique,آپ کی اپنی علمی صوابدید پر,Phrase indicating that the final decision in an educational or research context rests entirely with the listener's scholarly evaluation.,القَرَارُ يَعُودُ لِبَحْضِ تَقْدِيرِكَ الأَكَادِيمِيِّ.,The decision is at your own academic discretion.,— (multiword expression; no single lexical root),"حَسْبَ رُؤْيَتِكَ العِلْمِيَّةِ, لِلبَاحِثِ",3,1.000,,5,0.800,لبحض,,structurally_verified
282,فِي حَالِ وُجُودِ أَيِّ تَعَارُضٍ,في حال وجود أي تعارض,in the event of any conflict / if there is any contradiction,en cas de conflit / s'il y a une contradiction,کسی بھی قسم کے ٹکراؤ (تضاد) کی صورت میں,Phrase used in legal or technical documents to provide priority rules if two statements or systems clash.,اِرْجِعْ لِلأَصْلِ فِي حَالِ وُجُودِ أَيِّ تَعَارُضٍ.,Refer to the original in the event of any conflict.,— (multiword expression; no single lexical root),"إِذَا تَنَاقَضْنَا, عِنْدَ الاخْتِلافِ",5,1.000,,7,1.000,,,structurally_verified
