rank,front,meaning,pos,frequency,cle_wordnet,cle_closed_class,readurdu_entry,kaikki_entry,semantic_source,source,legacy_crosscheck,kaikki_crosscheck,freedict_crosscheck,meaning_selection
174,شہر,town; city (urban area),noun,9803,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,town; city (urban area),,kaikki
175,خواتین,"plural of خاتُون (xātūn, “lady”)",noun,9757,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"plural of خاتُون (xātūn, “lady”)",,kaikki
176,روز,"day; period, age, time",adv|noun,9743,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"day; period, age, time",,kaikki
177,ترقی,progress; development,noun,9708,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,progress; development,,kaikki
178,ہماری,our (feminine),closed-class,9526,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
179,وہاں,"there (only in the sense of an abstract noun of place. Urdu does not have a word equivalent to the English usage for ""there is..."".)",adv,9483,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"there (only in the sense of an abstract noun of place. Urdu does not have a word equivalent to the English usage for ""there is..."".)",,kaikki
180,جانب,"direction, side",noun,9446,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"direction, side",,kaikki
181,کوشش,effort; attempt,noun,9441,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,effort; attempt,,kaikki
182,دوسری,second; other (feminine),closed-class,9333,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
183,مکمل,"entire, total; full, overflowing; finished (ie. to come to an end; concluded)",adj,9307,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"entire, total; full, overflowing; finished (ie. to come to an end; concluded)",,kaikki
184,عمر,"life; lifetime; a male given name, Umar or Omar; age (number of years one has lived)",name|noun,9272,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"life; lifetime; a male given name, Umar or Omar; age (number of years one has lived)",,kaikki
185,بار,"time, turn, occasion, instance, occurrence",noun,9238,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"time, turn, occasion, instance, occurrence",,kaikki
186,حصہ,"portion; part, share, piece; a share of a company",noun,9172,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"portion; part, share, piece; a share of a company",,kaikki
187,انسان,human; person,noun,9122,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,human; person,,kaikki
188,مزید,"greater, increased; increased, augmented, increase; more, additional, further, supplementary",adj|adv,9105,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"greater, increased; increased, augmented, increase; more, additional, further, supplementary",,kaikki
189,نظام,"system, order; institution, foundation (network)",noun,9057,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"system, order; institution, foundation (network)",,kaikki
190,بہتر,better; improved,adj|num,9050,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"improved; seventy-two; greater, superior",,explicit_high_risk_review
191,کبھی,sometimes,adv,8927,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,sometimes,,kaikki
192,مسلم,Muslim; Islamic; a Muslim (adherent of Islam),adj|noun,8894,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,Muslim; Islamic; a Muslim (adherent of Islam),,kaikki
193,چار,four,num,8865,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,four,,kaikki
194,کردار,contribution; character; role; character; behaviour,noun,8617,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,contribution; character; role; character; behaviour,,kaikki
195,میری,my; mine (feminine),pron,8592,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,feminine singular of میرا (merā),,explicit_high_risk_review
196,فیصلہ,resolution; decision; judgment,noun,8530,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,resolution; decision; judgment,,kaikki
197,سامنے,in front of,closed-class,8517,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,existing_candidate_fallback
198,ادا,"beauty, charm; elegance, grace; style; expression, imitation, manner",adj|noun,8500,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"beauty, charm; elegance, grace; style; expression, imitation, manner",,kaikki
199,درمیان,"interval; middle, midst; in the middle or midst",adv|noun,8473,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"interval; middle, midst; in the middle or midst",,kaikki
200,صورت,appearance; circumstance,noun,8460,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,appearance; circumstance,,kaikki
201,پارٹی,political group,noun,8454,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,political group,,kaikki
202,نئی,new (feminine),adj,8444,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,feminine plural direct; feminine singular direct; feminine plural oblique/vocative,,explicit_high_risk_review
203,بعض,"some, certain, few, several",adj,8344,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"some, certain, few, several",,kaikki
204,دل,wish; heart; attention,noun,8311,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,wish; heart; attention,,kaikki
205,اجلاس,"the sitting of a court of justice; session, official meeting, assembly session",noun,8303,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"the sitting of a court of justice; session, official meeting, assembly session",,kaikki
206,باہر,"outside; outdoors; eminent, excelling",adj|noun,8296,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"outside; outdoors; eminent, excelling",,kaikki
207,قرار,"conclusion, confirmation; decision, promise, agreement; peace, tranquility, rest, calm",noun,8279,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"conclusion, confirmation; decision, promise, agreement; peace, tranquility, rest, calm",,kaikki
208,عام,common; general; ordinary,adj,8206,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,common; general; ordinary,,kaikki
209,ضروری,"important; necessary, required",adj,8181,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"important; necessary, required",,kaikki
210,حضرت,gentleman,name|noun,8153,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,gentleman,,kaikki
211,بھارتی,Indian,adj|name,8144,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,Indian,,kaikki
212,تاہم,"however, yet, nevertheless, nonetheless",adv,8049,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"however, yet, nevertheless, nonetheless",,kaikki
213,مسائل,formal plural of مَسْئَلَہ (masala),noun,8000,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,formal plural of مَسْئَلَہ (masala),,kaikki
214,تاکہ,so that; in order that,closed-class,7963,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
215,جگہ,"post; station; place, site",noun,7864,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"post; station; place, site",,kaikki
216,میرا,first-person singular possessive pronoun: mine; first-person singular possessive determiner: my,det|pron,7841,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,first-person singular possessive pronoun: mine; first-person singular possessive determiner: my,,kaikki
217,بند,bun; dam; closed,adj|noun,7831,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,bun; dam; closed,,kaikki
218,جی,"used to show agreement - yes, correct; heart, mind (in the figurative, not anatomical, sense); the honorific particle, usually appended to names (of any gender) and titles",noun|particle,7825,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"used to show agreement - yes, correct; heart, mind (in the figurative, not anatomical, sense); the honorific particle, usually appended to names (of any gender) and titles",,kaikki
219,فوجی,martial; soldier,noun,7794,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,martial; soldier,,kaikki
220,تعداد,"quantity, amount, number",noun,7793,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"quantity, amount, number",,kaikki
221,تھیں,were (feminine plural),closed-class,7745,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
222,اظہار,"indication, declaration, disclosure, manifestation, proclamation, revelation, statement, testimony, vent",noun,7739,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"indication, declaration, disclosure, manifestation, proclamation, revelation, statement, testimony, vent",,kaikki
223,لاکھ,"myriad; lakh, lac (hundred thousand)",noun|num,7711,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"myriad; lakh, lac (hundred thousand)",,kaikki
224,کمی,"lack, deficiency, deficit, scarcity; derogatory, meaning belonging to the lowest caste",noun,7707,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"lack, deficiency, deficit, scarcity; derogatory, meaning belonging to the lowest caste",,kaikki
225,پہلی,first (feminine),adj,7573,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,feminine of پَہْلا (pahlā),,explicit_high_risk_review
226,صاحب,sir; mister; gentleman,noun,7544,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,sir; mister; gentleman,,kaikki
227,یعنی,that is; namely; i.e.; meaning,conj|intj,7523,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"like; namely, that is; [he/she/it] means",,explicit_high_risk_review
228,ہونا,"to want; to become; to be, to exist",verb,7478,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"to want; to become; to be, to exist",,kaikki
229,یہی,"(yah, q.v.+ī = hī, q.v.), emphat. pron. This very, this same, the very same (person or thing); — this even",closed-class,7436,False,True,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,existing_candidate_fallback
230,بغیر,lacking; without; with the exception,adj|prep,7425,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,lacking; without; with the exception,,kaikki
231,چند,"a few, some, several",adj|adv,7418,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"a few, some, several",,kaikki
232,شکار,"hunt; prey, catch; victim",noun,7348,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"hunt; prey, catch; victim",,kaikki
233,تیار,ready,adj,7316,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,ready,,kaikki
234,وی,the letter V (especially in acronyms),content word,7277,True,False,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
235,امداد,"support; aid, help, assistance",noun,7168,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"support; aid, help, assistance",,kaikki
236,بڑا,"very; important; massive, heavy",adj,7147,True,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"very; important; massive, heavy",,kaikki
237,تعلق,"relationship; relation, connection",noun,7092,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"relationship; relation, connection",,kaikki
238,شخص,"person, individual",noun,7091,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"person, individual",,kaikki
239,ناظم,"poet, composer; secretary, manager, organizer",adj,7087,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"poet, composer; secretary, manager, organizer",,kaikki
240,حل,"solution, resolution",noun,7083,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"solution, resolution",,kaikki
241,متحدہ,"allied; united, unified",adj,6995,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"allied; united, unified",,kaikki
242,گزشتہ,"previous; past, elapsed",adj,6987,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"previous; past, elapsed",,kaikki
243,باعث,"cause, reason; root, origin, basis",noun,6914,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"cause, reason; root, origin, basis",,kaikki
244,اشاعت,propagation; publication,noun,6847,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,propagation; publication,,kaikki
245,فراہم,"gathered, collected, obtained",adj,6823,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"gathered, collected, obtained",,kaikki
246,پانچ,five,num,6808,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,five,,kaikki
247,ابھی,"lately, recently, just, just now; currently, at present, at the moment, right now, just now; immediately, right away, shortly, at once, this instant, right now",adv,6786,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"lately, recently, just, just now; currently, at present, at the moment, right now, just now; immediately, right away, shortly, at once, this instant, right now",,kaikki
248,زلزلے,direct plural; oblique/vocative singular,noun,6774,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,direct plural; oblique/vocative singular,,kaikki
249,فوج,army (military; force); a horde (both in terms of items or people),noun,6768,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,army (military; force); a horde (both in terms of items or people),,kaikki
250,قبل,"previous, before, ago",adv,6703,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"previous, before, ago",,kaikki
251,جلد,"soon; binding (of a book), cover; skin, hide, leather, dermis",adj|noun,6688,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"soon; binding (of a book), cover; skin, hide, leather, dermis",,kaikki
252,آیا,"ayah: nurse maid, nurse; masculine singular perfect adjectival of آنا (ānā): came, arrived",noun|verb,6584,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"ayah: nurse maid, nurse; masculine singular perfect adjectival of آنا (ānā): came, arrived",,kaikki
253,اسلامی,Islamic,adj,6523,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,Islamic,,kaikki
254,مسئلہ,"matter, affair; problem, issue; proposition, question",noun,6521,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"matter, affair; problem, issue; proposition, question",,kaikki
255,کل,all; bald; dumb,adj|adv|noun,6507,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,all; bald; dumb,,kaikki
256,اعلی,"greatest; highest; dignified; loftiest; supreme, chief, head",adj,6501,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"greatest; highest; dignified; loftiest; supreme, chief, head",,kaikki
257,او,O!; oh!; the letter O in some contexts,adv|prep|pron,6493,True,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,as; it; like,,explicit_high_risk_review
258,اعظم,greatest; supreme; paramount,adj,6467,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,greatest; supreme; paramount,,kaikki
259,علاقے,direct plural; oblique/vocative singular,noun,6464,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,direct plural; oblique/vocative singular,,kaikki
260,خصوصی,"personal, private; special, peculiar, particular",adj,6461,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"personal, private; special, peculiar, particular",,kaikki
261,صحت,health; soundness,noun,6445,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,health; soundness,,kaikki
262,کس,who; which (singular oblique interrogative),noun|pron,6445,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"pussy, cunt",,explicit_high_risk_review
263,بڑھ,increase; grow (stem of بڑھنا),content word,6419,True,False,True,False,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,,,explicit_high_risk_review
264,خاص,special; peculiar; extraordinary,adj,6418,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,special; peculiar; extraordinary,,kaikki
265,کار,"function, duty, use; work, occupation, action; denotes a doer or agent; -er",noun|suffix,6400,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"function, duty, use; work, occupation, action; denotes a doer or agent; -er",,kaikki
266,بیان,statement,noun,6349,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,statement,,kaikki
267,اختیار,"imprimatur; power, authority, jurisdiction; choice, adoption, control, discretion, option",noun,6328,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"imprimatur; power, authority, jurisdiction; choice, adoption, control, discretion, option",,kaikki
268,کیوں,why,adv,6292,False,True,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,why,,kaikki
269,علم,knowledge; science; flag (different vocalization/sense),noun,6258,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,spear; gnomon; science,,explicit_high_risk_review
270,انداز,"style, manner",noun,6236,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"style, manner",,kaikki
271,سطح,"level, surface",noun,6222,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"level, surface",,kaikki
272,قانون,"law; rule, statute",noun,6213,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"law; rule, statute",,kaikki
273,سامان,"goods, chattels; luggage, baggage; equipment, apparatus",noun,6196,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"goods, chattels; luggage, baggage; equipment, apparatus",,kaikki
274,حق,"portion, share; duty, obligation; the truth, righteousness",noun,6169,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"portion, share; duty, obligation; the truth, righteousness",,kaikki
275,پاک,"clean, pure; clipping of پاکستان (“Pakistan”)",adj|noun,6164,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"clean, pure; clipping of پاکستان (“Pakistan”)",,kaikki
276,جواب,"solution; answer, reply, response",noun,6163,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,"solution; answer, reply, response",,kaikki
277,کمیٹی,committee; a municipality; ROSCA; a money saving scheme,noun,6147,False,False,True,True,ReadUrdu composite dictionary,"CLE Urdu 5,000 corpus frequency list (legacy Unicode normalized) + CLE lexical inventories; ReadUrdu/Kaikki semantics",,committee; a municipality; ROSCA; a money saving scheme,,kaikki
