rank,target,english,pos,ipa_candidate,learner_hint_candidate,source_sha256
181,يأتي,comes; arrives,imperfect / present verb,jʔtˈiː,yʔtayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
182,خارج,outside; external to,adverb,xˈaːridʒ,kharayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
183,منزل,house; home; residence,noun,mˈanzil,manzayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
184,يوجد,exists; is present; there is,imperfect / present verb,jwdʒd,ywyd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
185,مركز,center; centre,noun,mˈarkaz,markaz,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
186,لجنة,committee; commission,noun,lˈadʒna,layna,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
187,سياسي,politician; political figure; political,noun / adjective,sˌijaːsˈiːj,sayayyasayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
188,داخل,inside; within,adverb,dˈaːxil,dakhayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
189,قدم,foot; antiquity/oldness; presented/offered (depending on vocalization/form),noun / perfect-past verb,qˈa.dːam,qa.dam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
190,سنة,year; Sunnah/tradition (depending on vocalization),noun,sˈana,sana,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
191,يتم,is completed; takes place; is carried out,imperfect / present verb,jˈutm,yohohtm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
192,أمن,security; safety; was or felt safe; secured or made safe,noun / perfect-past verb,ʔˈamn,ʔamn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
193,شرطة,police,noun,ʃˈurt̪a.,shohohrt̪a.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
194,لذا,therefore; thus; for that reason,prepositional/adverbial expression (لِ + ذا),lðaː,ldha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
195,عربية,Arabic; Arab (feminine adjective/noun use),adjective / noun,ʕarˈabiːjˌa,‘arabayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
196,يتحدث,speaks; talks,imperfect / present verb,jtħdθ,ythdth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
197,مقبل,next; coming; forthcoming,adjective,mˈuqbil,mohohqbayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
198,دع,leave!; let!; allow! (دع),imperative verb,dˈaʕʕ,da‘‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
199,يحدث,happens; occurs; updates/tells (depending on vocalization),imperfect / present verb,jħdθ,yhdth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
200,كرة,ball; sphere,noun,kˈura,kohohra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
201,يعود,returns; goes back,imperfect / present verb,jʕˈuːd,y‘ohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
202,رأى,saw,perfect / past verb,rˈa.ʔaː,ra.ʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
203,حقيقة,truth; fact; reality,noun,ħˈaqiːqˌa,haqayayqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
204,الله,Allah; God,noun,ʔˈallaːh,ʔallah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
205,سعيد,happy; pleased,adjective,sˈaʕiːd,sa‘ayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
206,يظن,thinks; supposes,imperfect / present verb,jðn,ydhn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
207,فترة,period; interval,noun,fˈatra.,fatra.,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
208,رجال,men,noun,rdʒˈaːl,ryal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
209,نسوة,women; group of women,collective noun / plural noun,nˈiswa,nayayswa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
210,أعمال,works; businesses; actions,noun,ʔʕmˈaːl,ʔ‘mal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
211,مشكلة,problem; issue,noun,mˈuʃkilˌa,mohohshkayayla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
212,حالة,state; condition; case,noun,ħˈaːla,hala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
213,حزب,party; political party; group,noun,ħˈizb,hayayzb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
214,مليون,million,noun,mallˈijjuːn,mallayayyyohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
215,حصل,happened/occurred; obtained/got; collected (depending on form),perfect / past verb,ħˈas̪-al,has̪-al,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
216,يشعر,feels; senses,imperfect / present verb,jʃʕr,ysh‘r,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
217,طلب,request; demand; order; requested/asked,noun / perfect / past verb,t̪ˈalab,t̪alab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
218,تحقيق,investigation; achievement/realization (context-dependent),noun,taħqˈiːq,tahqayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
219,جميل,beautiful; nice,adjective,dʒˈamiːl,yamayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
220,بيت,house; home,noun,bˈajt,bayt,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
221,هم,they; concern; worry (هُمْ / هَمّ),personal pronoun / noun,hˈum,hohohm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
222,وزارة,ministry,noun,wizˈaːra,wayayzara,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
223,قرار,decision; resolution,noun,qarˈaːr,qarar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
224,رغم,despite; in spite of (رغم),noun,rˈaɣm,raghm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
225,ساعة,hour; watch; clock,noun,sˈaːʕa,sa‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
226,جاء,came; arrived,perfect / past verb,dʒˈaːʔ,yaʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
227,أرض,earth; land; ground,noun,ʔˈardˤ,ʔardˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
228,يحاول,tries; attempts,imperfect / present verb,jħˈaːwl,yhawl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
229,عين,eye; spring; individual/notable; appointed/designated (depending on vocalization),noun / perfect / past verb,ʕˈajn,‘ayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
230,كي,so that; in order that,particle,kˈaj,kay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
231,كم,how many?; how much?; many/a great many (interrogative or declarative كَمْ),quantitative noun; interrogative or declarative (اسم مبني),kiːlˈuː mitˌar,kayaylohoh mayaytar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
232,أيام,days,noun,ʔˈiːaːm,ʔayayam,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
233,أصبح,became; came to be,perfect / past verb,ʔˈas̪baħ,ʔas̪bah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
234,حسب,according to; enough/sufficient; calculated/count(ed); considered/thought (depending on vocalization/use),noun / adverbial-relational expression / perfect-past verb,ħˈasab,hasab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
235,دائما,always,adverb,dˈaːʔmaː,daʔma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
236,انظر,look!; see!,imperative verb,ˈanðr,andhr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
237,طريقة,way; method; manner,noun,t̪ˈariːqˌa,t̪arayayqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
238,فيما,"in what; in which; concerning what/which; while/insofar as, depending on context","preposition + ma (relative, interrogative, or subordinating element depending on context)",fˈiːmaː,fayayma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
239,صديق,friend,noun,s̪ˈadiːq,s̪adayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
240,عرض,offer; presentation or display; width; symptom; presented or offered or displayed,noun / perfect-past verb,ʕˈardˤ,‘ardˤ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
241,أبدا,ever; never (with negation); at all,adverb,ʔbdˈaː,ʔbda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
242,هدف,goal; target; objective,noun,hˈadaf,hadaf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
243,يعد,counts/enumerates; prepares; is considered (يَعُدّ / يُعِدّ / يُعَدّ),imperfect verb; active or passive depending on vocalization,jʕd,y‘d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
244,وجود,existence; presence,noun,wudʒˈuːd,wohohyohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
245,نهاية,end; ending; conclusion,noun,nihˈaːja,nayayhaya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
246,مجموعة,group; collection; set,noun,madʒmˈuːʕa,maymohoh‘a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
247,دول,countries; states,noun,dˈuːl,dohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
248,فقد,lost; loss/absence; so/then + already/may (فَقَدَ / فَقْد / فَ + قَدْ),perfect-past verb / noun / conjunction + particle sequence,fˈaqad,faqad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
249,مختلف,different; various,adjective,mˈuxtalˌif,mohohkhtalayayf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
250,ألف,thousand; authored/composed/compiled (أَلْف / أَلَّفَ),numeral/noun / perfect-past verb,ʔˈallaf,ʔallaf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
251,نائب,deputy; vice-president; representative,noun,nˈaːʔib,naʔayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
252,أسبوع,week,noun,ʔˈusbuːʕ,ʔohohsbohoh‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
253,قانون,law,noun,qa.ːnˈuːn,qa.nohohn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
254,مستوى,level; standard,noun,mˈustawˌaː,mohohstawa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
255,قطاع,sector,noun,qit̪ˈa.ːʕ,qayayt̪a.‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
256,نظام,system; regime,noun,niðˈa.ːm,nayaydha.m,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
257,ما زال,still is/was; continues/continued to be,negative particle + defective verb; fixed continuative construction,mˈaː zˈaːl,ma zal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
258,مساعدة,help; assistance,noun,musˈaːʕadˌa,mohohsa‘ada,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
259,يحصل,gets; obtains; happens; collects/achieves (depending on form),imperfect / present verb,jħs̪l,yhs̪l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
260,شهر,month,noun,ʃˈahr,shahr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
261,فني,technician; technical/specialized (depending on use),noun / adjective,fˈanniːj,fannayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
262,صفحة,page,noun,s̪ˈafħa,s̪afha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
263,عامة,general; public; in general,adjective; adverbial expression in “in general”,ʕˈaːmma,‘amma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
264,تحت,under; below,adverb,tˈaħta,tahta,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
265,حين,when; while; time,adverb,ħˈiːn,hayayn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
266,قليل,little; few; small amount,adjective,qˈaliːl,qalayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
267,نحو,toward; about; approximately,adverb / preposition,nˈaħw,nahw,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
268,أطفال,children,noun,ʔt̪fˈaːl,ʔt̪fal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
269,لا بد,must; necessarily; inevitably,fixed modal expression,lˈaː bˈudː,la bohohd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
270,نوع,type; kind; form,noun,nˈawʕ,naw‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
271,منتخب,team; national/select team; elected/selected (context-dependent),noun / adjective / passive participle,mˈuntaχˌab,mohohntakhab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
272,شيخ,sheikh; elder; senior man,noun,ʃˈajx,shaykh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
273,مشروع,project; plan; lawful; legitimate,noun / adjective,maʃrˈuːʕ,mashrohoh‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
274,أشياء,things,noun,ʔʃˈiːʔ,ʔshayayʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
275,وحيد,only; lone; unique; lonely,adjective,wˈaħiːd,wahayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
276,صباح,morning; in the morning,noun; adverbial time expression in context,s̪ˈabaːħ,s̪abah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
277,شعب,people; nation; populace,noun,ʃˈaʕb,sha‘b,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
278,يأخذ,takes; receives,imperfect / present verb,jʔχð,yʔkhdh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
279,يجد,finds,imperfect / present verb,jdʒd,yyd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
280,توقف,stopped; halted; stop!,perfect / past verb / imperative verb,tˈawaqːˌaf,tawaqaf,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
281,لأن,because; because of the fact that (لأن),particle,lʔn,lʔn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
282,بطولة,championship; tournament; heroism,noun,bˈut̪uːlˌa,bohoht̪ohohla,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
283,هيئة,form; appearance; body; authority; commission; organization,noun,hˈajʔa,hayʔa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
284,عملية,process; operation,noun,ʕˌamalˈiːja,‘amalayayya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
285,طويل,long; tall,adjective,t̪ˈawiːl,t̪awayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
286,بل,rather; but; instead,particle,bˈal,bal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
287,تأكيد,confirmation; emphasis,noun,tˈaʔkiːd,taʔkayayd,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
288,إذن,then; therefore; in that case (إِذًا/إذن); permission; authorization (إِذْن),particle / noun,ʔˈiðn,ʔayaydhn,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
289,أمور,matters; affairs; things,noun,ʔmˈuːr,ʔmohohr,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
290,فوز,victory; winning,noun,fˈawz,fawz,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
291,أقل,less; least; fewer,elative / comparative-superlative (اسم تفضيل),ʔˈaqall,ʔaqall,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
292,ألا,attention/emphasis particle; that not (أَلَّا); don't/doesn't/isn't... ? (أَ + لا),particle / interrogative particle sequence,ʔˈalaː,ʔala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
293,شباب,youth; young people,noun,ʃˈabaːb,shabab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
294,حقيقي,real; genuine; true,adjective,ħˈaqiːqˌiːj,haqayayqayayy,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
295,كامل,complete; full; entire,adjective,kˈaːmil,kamayayl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
296,لاعب,player; sport/game player,noun / active participle,lˈaːʕib,la‘ayayb,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
297,انتظر,waited; wait!,perfect / past verb / imperative verb,ˈintaðˌar,ayayntadhar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
298,شركات,companies,noun,ʃrkˈaːt,shrkat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
299,مما,"from/of what; from/of which; from what/that which, depending on context",preposition min + ma (relative or subordinating element depending on context),mmˈaː,mma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
300,سابق,previous; former; preceding; competed/raced (depending on vocalization),adjective / perfect / past verb,sˈaːbiq,sabayayq,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
301,غرفة,room; chamber,noun,ɣˈurfa,ghohohrfa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
302,مال,money; wealth; leaned/inclined (depending on vocalization),noun / perfect / past verb,mˈaːl,mal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
303,يجعل,makes; renders; causes,imperfect / present verb,jdʒʕl,yy‘l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
304,مشاركة,participation; sharing,noun,muʃˈaːrakˌa,mohohsharaka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
305,عزيز,dear; precious; respected,adjective,ʕˈaziːz,‘azayayz,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
306,إله,god; deity,noun,ʔˈilaːh,ʔayaylah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
307,رؤية,vision; seeing; view,noun,rˈuʔja,rohohʔya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
308,وجه,face; direction; aspect; directed,noun / perfect / past verb,wˈadʒh,wayh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
309,ضد,against; opposite,noun,dˤˈi.dː,dˤayay.d,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
310,خاص,special; private; particular,adjective,xˈa.ːs̪ː,kha.s̪,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
311,يبقى,remains; stays,imperfect / present verb,jbqˈa,ybqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
312,لقاء,meeting; encounter,noun,liqˈa.ːʔ,layayqa.ʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
313,عودة,return; comeback,noun,ʕˈawda,‘awda,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
314,أكبر,bigger; larger; greatest; largest,elative / comparative-superlative (ism tafdil),ʔˈakbar,ʔakbar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
315,قوات,forces; troops,noun,qwˈaːt,qwat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
316,نقل,transfer; transport; transmission; transferred/moved,noun / perfect / past verb,nˈaqal,naqal,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
317,يصل,arrives; reaches,imperfect / present verb,js̪l,ys̪l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
318,إضافة,addition; adding,noun,ʔˈidˤaːfˌa,ʔayaydˤafa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
319,رأس,head; top; headed/presided,noun / perfect / past verb,rˈaʔs,raʔs,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
320,حسن,good/fine; goodness/beauty; became good/beautiful (depending on vocalization),adjective / noun / perfect-past verb,ħˈasan,hasan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
321,فكرة,idea; thought,noun,fˈikra,fayaykra,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
322,أخذ,taking; took,noun / perfect / past verb,ʔˈaχað,ʔakhadh,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
323,أشار,indicated; pointed out; referred to,perfect / past verb,ʔaʃˈaːr,ʔashar,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
324,فتاة,girl; young woman,noun,fˈataːh,fatah,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
325,حركة,movement; motion,noun,ħˈarakˌa,haraka,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
326,هكذا,like this; thus; in this way,adverbial demonstrative expression,hˈaːkaðˌaː,hakadha,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
327,قوة,strength; force; power,noun,qˈuwwa,qohohwwa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
328,برنامج,program; programme,noun,ba.rnˈaːmadʒ,ba.rnamay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
329,حصول,occurrence; obtaining; acquisition,noun,ħˈus̪uːl,hohohs̪ohohl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
330,ذهب,gold; went (depending on vocalization),noun / perfect / past verb,ðˈahab,dhahab,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
331,يبدأ,begins; starts,imperfect / present verb,jbdʔ,ybdʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
332,ذات,"self; essence; having; possessing (feminine form corresponding to ذو, depending on construction)",noun / possessive-relational form,ðˈaːt,dhat,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
333,تحدث,speaking; conversation; spoke/talked,noun / perfect / past verb,taħˈadːaθ,tahadath,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
334,وصل,arrived; reached; connected,perfect / past verb,wˈas̪a.l,was̪a.l,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
335,علم,knowledge; science; flag; knew/recognized; taught/instructed (depending on vocalization/form),noun / perfect-past verb,ʕˈilm,‘ayaylm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
336,أما,as for; whereas; as regards (أَمَّا),particle,ʔˈammaː,ʔamma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
337,أعلن,announced; declared,perfect / past verb,ʔˈaʕlan,ʔa‘lan,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
338,إطلاقا,at all; absolutely,verbal noun / adverbial expression,ʔt̪lˈaːqaː,ʔt̪laqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
339,تماما,completely; entirely; exactly,verbal noun / adverbial expression,tmˈaːmaː,tmama,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
340,فرصة,opportunity; chance,noun,fˈurs̪a,fohohrs̪a,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
341,بحث,research; search; searched/researched,noun / perfect / past verb,bˈaħθ,bahth,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
342,يخرج,goes out; exits; leaves,imperfect / present verb,jχrdʒ,ykhry,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
343,حكم,judgment; ruling; government; ruled/judged,noun / perfect / past verb,ħˈukm,hohohkm,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
344,طفل,child,noun,t̪ˈifl,t̪ayayfl,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
345,قضية,case; issue; cause,noun,qadˤˈijja,qadˤayayyya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
346,أعلى,higher; highest; upper,comparative / superlative adjective,ʔˈaʕlaː,ʔa‘la,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
347,ما,how...!; what a...! (exclamative ma in the ma afala pattern),exclamative noun in the traditional ma afala analysis,mˈaː,ma,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
348,دعم,support; backing; supported,noun / perfect / past verb,dˈaʕm,da‘m,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
349,حاجة,need; necessity,noun,ħˈaːdʒa,haya,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
350,تعال,come!,imperative verb,tˈaʕaːlˌa,ta‘ala,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
351,مجرد,mere; bare; stripped; abstract; as soon as / merely / just in بمجرد constructions,adjective / noun; adverbial construction with بـ,mˈudʒarrˌad,mohohyarrad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
352,وزراء,ministers,noun,wzraːʔ,wzraʔ,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
353,هؤلاء,these,demonstrative pronoun,haːʔˈulaːʔˌi,haʔohohlaʔayay,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
354,عقد,contract/agreement; decade; necklace; held/concluded/tied (depending on vocalization),noun / perfect-past verb,ʕˈaqad,‘aqad,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
355,دقيقة,minute; precise/fine (context-dependent),noun / adjective,dˈaqiːqˌa,daqayayqa,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
356,طبع,printing; nature/character; printed,noun / perfect / past verb,t̪ˈabʕ,t̪ab‘,f097c2c3147298536d609809ead7d7d333892d8c95efbebcc59992cc803b3cce
